anchor_seq,query_seq,anchor_idx,query_idx,num_matches,num_inliers
0,3,0,6000,66,26
0,3,0,6050,25,15
0,3,0,6100,32,17
0,3,0,6150,7,0
0,3,0,6200,45,18
0,3,0,6250,42,19
0,3,0,6300,80,28
0,3,0,6350,74,36
0,3,0,6400,65,24
0,3,0,6450,68,26
0,3,0,6500,19,11
0,3,0,6550,80,24
0,3,0,6600,42,16
0,3,0,6650,36,17
0,3,0,6700,27,13
0,3,0,6750,31,16
0,3,0,6800,22,12
0,3,0,6850,27,15
0,3,0,6900,5,0
0,3,0,6950,6,0
0,3,0,7000,41,13
0,3,0,7050,26,12
0,3,0,7100,44,15
0,3,0,7150,31,13
0,3,0,7200,58,16
0,3,0,7250,55,20
0,3,0,7300,20,13
0,3,0,7350,24,18
0,3,0,7400,12,7
0,3,0,7450,34,15
0,3,0,7500,114,29
0,3,0,7550,94,37
0,3,0,7600,34,15
0,3,0,7650,86,34
0,3,0,7700,91,30
0,3,0,7750,89,40
0,3,0,7800,22,12
0,3,0,7850,55,19
0,3,0,7900,10,7
0,3,0,7950,19,13
0,3,50,6000,82,53
0,3,50,6050,89,41
0,3,50,6100,91,52
0,3,50,6150,79,35
0,3,50,6200,70,32
0,3,50,6250,55,25
0,3,50,6300,56,29
0,3,50,6350,62,26
0,3,50,6400,71,27
0,3,50,6450,68,26
0,3,50,6500,79,37
0,3,50,6550,79,25
0,3,50,6600,26,11
0,3,50,6650,49,20
0,3,50,6700,55,25
0,3,50,6750,27,15
0,3,50,6800,35,15
0,3,50,6850,73,31
0,3,50,6900,12,7
0,3,50,6950,19,11
0,3,50,7000,73,20
0,3,50,7050,74,24
0,3,50,7100,23,12
0,3,50,7150,37,15
0,3,50,7200,9,7
0,3,50,7250,10,7
0,3,50,7300,15,11
0,3,50,7350,19,13
0,3,50,7400,26,15
0,3,50,7450,87,26
0,3,50,7500,112,26
0,3,50,7550,13,7
0,3,50,7600,9,7
0,3,50,7650,54,30
0,3,50,7700,1,0
0,3,50,7750,42,21
0,3,50,7800,19,10
0,3,50,7850,58,36
0,3,50,7900,10,7
0,3,50,7950,18,10
0,3,100,6000,73,41
0,3,100,6050,52,24
0,3,100,6100,178,52
0,3,100,6150,74,30
0,3,100,6200,56,24
0,3,100,6250,42,16
0,3,100,6300,112,32
0,3,100,6350,89,22
0,3,100,6400,135,41
0,3,100,6450,140,40
0,3,100,6500,112,41
0,3,100,6550,110,37
0,3,100,6600,30,15
0,3,100,6650,33,20
0,3,100,6700,30,15
0,3,100,6750,28,14
0,3,100,6800,31,15
0,3,100,6850,69,26
0,3,100,6900,63,23
0,3,100,6950,34,13
0,3,100,7000,45,13
0,3,100,7050,31,13
0,3,100,7100,70,26
0,3,100,7150,80,24
0,3,100,7200,46,24
0,3,100,7250,25,15
0,3,100,7300,32,17
0,3,100,7350,24,13
0,3,100,7400,140,46
0,3,100,7450,66,25
0,3,100,7500,66,16
0,3,100,7550,32,24
0,3,100,7600,0,0
0,3,100,7650,20,13
0,3,100,7700,8,6
0,3,100,7750,97,54
0,3,100,7800,45,22
0,3,100,7850,15,10
0,3,100,7900,41,14
0,3,100,7950,88,29
0,3,150,6000,149,66
0,3,150,6050,47,18
0,3,150,6100,38,19
0,3,150,6150,76,40
0,3,150,6200,40,23
0,3,150,6250,31,17
0,3,150,6300,36,22
0,3,150,6350,43,20
0,3,150,6400,144,53
0,3,150,6450,106,29
0,3,150,6500,184,81
0,3,150,6550,176,51
0,3,150,6600,56,20
0,3,150,6650,121,34
0,3,150,6700,90,28
0,3,150,6750,84,31
0,3,150,6800,23,15
0,3,150,6850,60,23
0,3,150,6900,32,16
0,3,150,6950,12,7
