anchor_seq,query_seq,anchor_idx,query_idx,num_matches,num_inliers
20,2,40850,4000,1315,1213
20,2,40800,4000,1073,1056
20,2,40900,4000,1176,1029
20,2,40850,4050,1109,1061
20,2,40900,4050,972,906
20,2,40800,4050,918,756
20,2,40850,4100,973,896
20,2,40800,4100,791,755
20,2,40900,4100,844,715
20,2,40850,4150,857,765
20,2,40900,4150,812,660
20,2,40750,4150,672,621
20,2,40900,4200,846,769
20,2,40850,4200,757,661
20,2,40950,4200,747,641
20,2,40950,4250,797,713
20,2,40900,4250,709,679
20,2,40850,4250,653,565
20,2,41000,4300,657,639
20,2,40950,4300,724,595
20,2,40900,4300,613,559
20,2,41000,4350,782,692
20,2,41050,4350,729,622
20,2,40950,4350,620,466
20,2,41050,4400,815,672
20,2,41100,4400,692,528
20,2,41000,4400,584,435
20,2,41100,4450,768,572
20,2,41200,4450,488,406
20,2,41250,4450,463,406
20,2,41200,4500,941,854
20,2,41250,4500,967,804
20,2,41400,4500,806,697
20,2,41300,4550,1543,1313
20,2,41500,4550,1482,1290
20,2,41350,4550,1629,1287
20,2,41300,4600,1508,1418
20,2,41350,4600,1770,1385
20,2,41400,4600,1696,1318
20,2,41350,4650,1750,1522
20,2,41400,4650,1690,1519
20,2,41600,4650,1576,1315
20,2,41400,4700,1788,1525
20,2,41550,4700,1742,1492
20,2,41350,4700,1663,1422
20,2,41450,4750,1886,1600
20,2,41550,4750,1912,1551
20,2,41400,4750,1724,1517
20,2,41500,4800,1927,1836
20,2,41550,4800,1919,1739
20,2,41600,4800,1877,1641
20,2,41550,4850,1965,1738
20,2,41500,4850,1806,1636
20,2,41600,4850,1899,1628
20,2,41550,4900,1880,1662
20,2,41600,4900,1873,1581
20,2,41650,4900,1885,1458
20,2,41550,4950,1722,1591
20,2,41650,4950,1930,1584
20,2,41600,4950,1715,1562
20,2,41650,5000,1883,1735
20,2,41600,5000,1719,1557
20,2,41700,5000,1516,1260
20,2,41650,5050,1843,1837
20,2,41600,5050,1378,1297
20,2,41700,5050,1399,1224
20,2,41700,5100,1689,1491
20,2,41650,5100,1337,1292
20,2,41600,5100,1040,934
20,2,41750,5150,1520,1357
20,2,41700,5150,1366,1112
20,2,41800,5150,894,777
20,2,41850,5200,1751,1652
20,2,41800,5200,1790,1530
20,2,41750,5200,1434,1311
20,2,41850,5250,1932,1719
20,2,41900,5250,1812,1678
20,2,41800,5250,1613,1570
20,2,41900,5300,1938,1744
20,2,41950,5300,1841,1647
20,2,41850,5300,1629,1369
20,2,41950,5350,1870,1781
