#timestamp tx ty tz qx qy qz qw
1237.6017897600 206.777989 3.105123 -0.494818 -0.009945 0.005503 0.984668 -0.174070
1237.6455481600 206.761390 3.116588 -0.495414 -0.009861 0.005480 0.984593 -0.174497
1237.6955567700 206.761950 3.116271 -0.495328 -0.009829 0.005504 0.984600 -0.174461
1237.7455667100 206.761964 3.116272 -0.494998 -0.009874 0.005494 0.984597 -0.174475
1237.7955724000 206.761861 3.116458 -0.495129 -0.009849 0.005509 0.984596 -0.174479
1237.8455737400 206.761578 3.116770 -0.495194 -0.009865 0.005486 0.984596 -0.174478
1237.8955672100 206.761958 3.116137 -0.494420 -0.009825 0.005517 0.984597 -0.174478
1237.9455619100 206.761561 3.116027 -0.494463 -0.009871 0.005490 0.984597 -0.174475
1237.9955632000 206.762578 3.116498 -0.494517 -0.009891 0.005461 0.984598 -0.174471
1238.0455601100 206.761310 3.116315 -0.494494 -0.009814 0.005469 0.984598 -0.174471
1238.0955571900 206.760820 3.115902 -0.494572 -0.009873 0.005478 0.984596 -0.174481
1238.1455502300 206.760800 3.116018 -0.494640 -0.009816 0.005474 0.984595 -0.174488
1238.1955391700 206.761461 3.115735 -0.495067 -0.009824 0.005513 0.984598 -0.174473
1238.2455255500 206.760840 3.115733 -0.495081 -0.009872 0.005476 0.984597 -0.174472
1238.2955138200 206.761960 3.116197 -0.495123 -0.009812 0.005497 0.984594 -0.174496
1238.3454882900 206.762106 3.116029 -0.494969 -0.009873 0.005490 0.984591 -0.174506
1238.3954672000 206.762157 3.116610 -0.494924 -0.009861 0.005453 0.984595 -0.174484
1238.4454338800 206.761930 3.116504 -0.495217 -0.009842 0.005485 0.984600 -0.174458
1238.4954062200 206.762149 3.116295 -0.494847 -0.009848 0.005482 0.984596 -0.174481
1238.5453854700 206.761893 3.116291 -0.495059 -0.009815 0.005518 0.984595 -0.174488
1238.5953576000 206.762589 3.116881 -0.494189 -0.009824 0.005507 0.984592 -0.174502
1238.6453434100 206.763030 3.115691 -0.494388 -0.009856 0.005500 0.984592 -0.174505
1238.6953308000 206.762887 3.116435 -0.494512 -0.009853 0.005459 0.984596 -0.174483
1238.7453268300 206.762539 3.116377 -0.494125 -0.009787 0.005455 0.984599 -0.174470
1238.7953342300 206.762039 3.117415 -0.494733 -0.009838 0.005502 0.984597 -0.174474
1238.8453418800 206.760612 3.116200 -0.493921 -0.009803 0.005512 0.984595 -0.174489
1238.8953513400 206.761853 3.116142 -0.494807 -0.009817 0.005492 0.984593 -0.174500
1238.9453731200 206.761809 3.116136 -0.494137 -0.009777 0.005550 0.984596 -0.174482
1238.9953874600 206.760888 3.115956 -0.494710 -0.009716 0.005528 0.984597 -0.174480
1239.0454097100 206.761090 3.115631 -0.494611 -0.009705 0.005536 0.984599 -0.174470
1239.0954161400 206.759432 3.115648 -0.494942 -0.009619 0.005480 0.984597 -0.174490
1239.1454211200 206.758645 3.114578 -0.495214 -0.009600 0.005472 0.984596 -0.174493
1239.1954211200 206.757681 3.114587 -0.494899 -0.009509 0.005478 0.984596 -0.174501
1239.2454152200 206.755562 3.113227 -0.494868 -0.009481 0.005494 0.984596 -0.174501
1239.2953971400 206.753341 3.112074 -0.494163 -0.009376 0.005488 0.984595 -0.174513
1239.3453724700 206.749739 3.110519 -0.494749 -0.009206 0.005507 0.984593 -0.174534
1239.3953421900 206.745376 3.109098 -0.495548 -0.009109 0.005483 0.984591 -0.174552
1239.4453048800 206.739811 3.106474 -0.496426 -0.008851 0.005453 0.984590 -0.174567
1239.4952720500 206.733489 3.104662 -0.495953 -0.008802 0.005417 0.984586 -0.174598
1239.5452405600 206.727023 3.100918 -0.495135 -0.008784 0.005451 0.984583 -0.174610
1239.5952071000 206.718199 3.098607 -0.496085 -0.008689 0.005425 0.984581 -0.174628
1239.6451798900 206.707464 3.094803 -0.496467 -0.008749 0.005451 0.984576 -0.174651
1239.6951556600 206.696844 3.090682 -0.496029 -0.008602 0.005529 0.984570 -0.174690
1239.7451362500 206.683132 3.087275 -0.496090 -0.008551 0.005546 0.984567 -0.174712
1239.7951209900 206.669718 3.082130 -0.496990 -0.008360 0.005559 0.984563 -0.174741
1239.8451154000 206.653427 3.077674 -0.497582 -0.008293 0.005594 0.984554 -0.174798
1239.8951279800 206.636310 3.070830 -0.497007 -0.008247 0.005622 0.984542 -0.174862
1239.9451446300 206.616429 3.062676 -0.497594 -0.008131 0.005689 0.984528 -0.174946
1239.9951558200 206.593155 3.056435 -0.498585 -0.008148 0.005647 0.984521 -0.174988
1240.0451715800 206.569133 3.048432 -0.498633 -0.008044 0.005697 0.984513 -0.175033
1240.0951865900 206.541990 3.038258 -0.498629 -0.007978 0.005673 0.984504 -0.175091
1240.1451920100 206.515500 3.028845 -0.499724 -0.007857 0.005614 0.984488 -0.175188
1240.1952065400 206.484952 3.017350 -0.500434 -0.007697 0.005520 0.984470 -0.175299
1240.2452156800 206.453440 3.006254 -0.499440 -0.007741 0.005418 0.984453 -0.175395
1240.2952195600 206.416813 2.992921 -0.501417 -0.007607 0.005369 0.984441 -0.175470
1240.3452298200 206.380006 2.979933 -0.502538 -0.007574 0.005349 0.984427 -0.175548
1240.3952358800 206.338502 2.965814 -0.503210 -0.007619 0.005444 0.984411 -0.175635
1240.4452464500 206.297967 2.952128 -0.503383 -0.007606 0.005465 0.984390 -0.175752
1240.4952551800 206.253300 2.937214 -0.507026 -0.007649 0.005552 0.984365 -0.175888
1240.5452523600 206.204112 2.920615 -0.506703 -0.007303 0.005647 0.984338 -0.176051
1240.5952422800 206.156993 2.905739 -0.508413 -0.007270 0.005705 0.984317 -0.176166
1240.6452240600 206.104005 2.888661 -0.508718 -0.007155 0.005821 0.984299 -0.176269
1240.6951938800 206.049811 2.869544 -0.510126 -0.007176 0.005764 0.984291 -0.176315
1240.7451533100 205.994040 2.848996 -0.510096 -0.007059 0.005694 0.984279 -0.176388
1240.7951179400 205.933895 2.827647 -0.512024 -0.006812 0.005670 0.984264 -0.176482
1240.8450781000 205.874026 2.805256 -0.512297 -0.006388 0.005588 0.984241 -0.176631
1240.8950389700 205.812079 2.783375 -0.514920 -0.005984 0.005491 0.984214 -0.176798
1240.9450084700 205.743775 2.759717 -0.517746 -0.005831 0.005447 0.984180 -0.176994
1240.9949922600 205.676025 2.735476 -0.519347 -0.005511 0.005734 0.984147 -0.177175
1241.0449717100 205.601602 2.711899 -0.520215 -0.005598 0.006073 0.984109 -0.177374
1241.0949657800 205.523744 2.686918 -0.522138 -0.005059 0.006420 0.984079 -0.177542
1241.1449574500 205.444378 2.658998 -0.524952 -0.004796 0.006629 0.984059 -0.177653
1241.1949554700 205.362868 2.632140 -0.524910 -0.004761 0.007045 0.984030 -0.177799
1241.2449553300 205.275024 2.604652 -0.529972 -0.004672 0.007157 0.984002 -0.177950
1241.2949601400 205.184948 2.574127 -0.529421 -0.004959 0.007177 0.983969 -0.178126
1241.3449686300 205.092497 2.541208 -0.530434 -0.004727 0.006878 0.983939 -0.178312
1241.3949862500 205.000782 2.506786 -0.531338 -0.004681 0.006339 0.983915 -0.178465
1241.4449985200 204.903328 2.468443 -0.530734 -0.003954 0.006007 0.983892 -0.178618
