scene,sequence,query_image,anchor_idx,num_matches,num_inliers
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11200,270,147
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11210,295,178
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11220,322,187
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11230,275,158
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11240,331,207
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11250,354,207
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11260,387,300
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11270,388,209
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11280,413,235
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11290,342,195
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11300,384,227
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11310,502,292
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11320,662,473
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11330,613,320
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11340,1022,656
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11350,1348,1004
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11360,1391,723
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11370,951,482
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11380,506,290
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11390,341,225
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11400,315,212
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11410,307,218
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11420,258,169
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11430,264,184
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11440,267,192
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11450,222,148
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11460,199,140
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11470,178,120
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11200,431,257
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11210,471,354
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11220,522,375
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11230,478,333
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11240,541,387
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11250,570,451
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11260,647,433
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11270,596,448
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11280,698,529
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11290,802,584
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11300,947,691
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11310,1020,549
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11320,1014,582
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11330,545,355
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11340,675,483
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11350,555,413
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11360,401,255
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11370,330,206
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11380,289,193
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11390,232,162
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11400,211,159
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11410,199,148
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11420,179,123
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11430,188,134
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11440,183,114
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11450,149,105
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11460,136,85
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11470,129,53
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11200,167,105
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11210,162,95
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11220,178,107
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11230,178,101
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11240,164,116
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11250,221,120
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11260,213,148
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11270,206,125
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11280,266,127
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11290,245,146
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11300,264,167
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11310,297,182
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11320,323,196
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11330,295,164
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11340,383,212
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11350,330,182
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11360,421,241
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11370,494,313
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11380,617,426
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11390,695,431
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11400,714,430
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11410,767,466
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11420,764,493
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11430,599,414
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11440,547,403
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11450,475,362
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11460,387,321
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11470,334,274
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11200,1004,869
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11210,1124,932
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11220,1302,1110
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11230,1583,1327
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11240,1881,1727
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11250,1351,1143
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11260,1128,1005
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11270,823,686
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11280,772,593
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11290,631,497
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11300,534,400
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11310,393,282
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11320,251,173
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11330,281,182
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11340,264,168
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11350,218,135
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11360,220,135
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11370,171,108
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11380,176,98
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11390,189,64
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11400,167,56
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11410,156,70
