scene,sequence,query_image,anchor_idx,num_matches,num_inliers
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11350,1348,1004
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11360,1391,723
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1109672756221448,11340,1022,656
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11300,947,691
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11290,802,584
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1174594599653820,11320,1014,582
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11420,764,493
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11410,767,466
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/1377418535966792,11390,695,431
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11240,1881,1727
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11230,1583,1327
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/157569956210813,11250,1351,1143
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11470,456,349
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11460,421,315
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/171491288216656,11450,409,282
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/209013120753961,11470,316,248
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/209013120753961,11460,313,211
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/209013120753961,11450,297,173
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/284090313198316,11460,704,536
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/284090313198316,11450,622,497
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/284090313198316,11470,668,459
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/3001109120169205,11380,135,34
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/3001109120169205,11340,101,29
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/3001109120169205,11390,113,28
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/300200548233014,11360,911,637
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/300200548233014,11350,1012,626
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/300200548233014,11320,806,480
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/308804654043934,11340,88,22
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/308804654043934,11380,62,17
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/308804654043934,11400,50,16
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/323224029233485,11430,1245,887
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/323224029233485,11440,1024,799
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/323224029233485,11420,1138,789
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/452408572533828,11460,846,680
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/452408572533828,11470,916,659
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/452408572533828,11450,685,495
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/769642790366382,11230,1751,1502
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/769642790366382,11240,1488,1286
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/769642790366382,11220,1384,1146
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/773050813599916,11380,514,376
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/773050813599916,11360,614,341
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/773050813599916,11370,491,328
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/781872275795007,11270,1123,842
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/781872275795007,11260,1018,687
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/781872275795007,11290,1081,647
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/856560084943113,11460,1404,1130
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/856560084943113,11450,1482,1069
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/856560084943113,11470,1013,904
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/864889470756528,11460,169,122
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/864889470756528,11470,164,108
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/864889470756528,11440,158,107
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/927137594735314,11350,970,526
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/927137594735314,11370,784,502
campus_train0,5kb1M1svQmCdlwVYX6iP4Q,5kb1M1svQmCdlwVYX6iP4Q/927137594735314,11340,971,474
