scene,sequence,query_image,anchor_idx,num_matches,num_inliers
spagna_train0,S0kbYi8VQ_WxGBZSOrY3Wg,S0kbYi8VQ_WxGBZSOrY3Wg/1060345244496307,38600,1514,1210
spagna_train0,S0kbYi8VQ_WxGBZSOrY3Wg,S0kbYi8VQ_WxGBZSOrY3Wg/1060345244496307,38500,1364,1209
spagna_train0,S0kbYi8VQ_WxGBZSOrY3Wg,S0kbYi8VQ_WxGBZSOrY3Wg/1060345244496307,38550,1381,1170
spagna_train0,S0kbYi8VQ_WxGBZSOrY3Wg,S0kbYi8VQ_WxGBZSOrY3Wg/106292454876896,38950,1612,1526
spagna_train0,S0kbYi8VQ_WxGBZSOrY3Wg,S0kbYi8VQ_WxGBZSOrY3Wg/106292454876896,39000,1480,1238
spagna_train0,S0kbYi8VQ_WxGBZSOrY3Wg,S0kbYi8VQ_WxGBZSOrY3Wg/106292454876896,38900,1326,1039
spagna_train0,S0kbYi8VQ_WxGBZSOrY3Wg,S0kbYi8VQ_WxGBZSOrY3Wg/108796431284045,40850,523,390
spagna_train0,S0kbYi8VQ_WxGBZSOrY3Wg,S0kbYi8VQ_WxGBZSOrY3Wg/108796431284045,40800,446,344
spagna_train0,S0kbYi8VQ_WxGBZSOrY3Wg,S0kbYi8VQ_WxGBZSOrY3Wg/108796431284045,40900,406,330
spagna_train0,S0kbYi8VQ_WxGBZSOrY3Wg,S0kbYi8VQ_WxGBZSOrY3Wg/1124747658033783,38450,1437,1082
spagna_train0,S0kbYi8VQ_WxGBZSOrY3Wg,S0kbYi8VQ_WxGBZSOrY3Wg/1124747658033783,38400,1206,1050
spagna_train0,S0kbYi8VQ_WxGBZSOrY3Wg,S0kbYi8VQ_WxGBZSOrY3Wg/1124747658033783,38350,1155,934
spagna_train0,S0kbYi8VQ_WxGBZSOrY3Wg,S0kbYi8VQ_WxGBZSOrY3Wg/1134724260363162,37650,1130,872
spagna_train0,S0kbYi8VQ_WxGBZSOrY3Wg,S0kbYi8VQ_WxGBZSOrY3Wg/1134724260363162,37600,1017,844
spagna_train0,S0kbYi8VQ_WxGBZSOrY3Wg,S0kbYi8VQ_WxGBZSOrY3Wg/1134724260363162,37700,967,784
spagna_train0,S0kbYi8VQ_WxGBZSOrY3Wg,S0kbYi8VQ_WxGBZSOrY3Wg/113811547432984,40200,1820,1477
spagna_train0,S0kbYi8VQ_WxGBZSOrY3Wg,S0kbYi8VQ_WxGBZSOrY3Wg/113811547432984,40150,1516,1189
spagna_train0,S0kbYi8VQ_WxGBZSOrY3Wg,S0kbYi8VQ_WxGBZSOrY3Wg/113811547432984,40250,1431,1061
spagna_train0,S0kbYi8VQ_WxGBZSOrY3Wg,S0kbYi8VQ_WxGBZSOrY3Wg/1141189789728712,40150,915,671
spagna_train0,S0kbYi8VQ_WxGBZSOrY3Wg,S0kbYi8VQ_WxGBZSOrY3Wg/1141189789728712,40250,859,634
spagna_train0,S0kbYi8VQ_WxGBZSOrY3Wg,S0kbYi8VQ_WxGBZSOrY3Wg/1141189789728712,40200,746,626
spagna_train0,S0kbYi8VQ_WxGBZSOrY3Wg,S0kbYi8VQ_WxGBZSOrY3Wg/1187290888379768,38750,1618,1362
spagna_train0,S0kbYi8VQ_WxGBZSOrY3Wg,S0kbYi8VQ_WxGBZSOrY3Wg/1187290888379768,38800,1461,1362
spagna_train0,S0kbYi8VQ_WxGBZSOrY3Wg,S0kbYi8VQ_WxGBZSOrY3Wg/1187290888379768,38700,1358,1105
