anchor_idx,query_image,num_matches,num_inliers
38950,106292454876896,1612,1526
39000,106292454876896,1480,1238
38900,106292454876896,1326,1039
38250,108462314638861,390,300
37450,108462314638861,374,299
38300,108462314638861,402,298
40850,108796431284045,523,390
40800,108796431284045,446,344
40900,108796431284045,406,330
40200,113811547432984,1820,1477
40150,113811547432984,1516,1189
40250,113811547432984,1431,1061
39050,138940178222730,1442,1054
39100,138940178222730,1475,1051
39150,138940178222730,1378,1013
39850,147385083955519,606,510
39000,147385083955519,598,436
39250,147385083955519,620,430
38900,149050590566545,1706,1430
38850,149050590566545,1578,1286
38950,149050590566545,1337,1162
39200,153171543365412,1523,1260
39100,153171543365412,1289,1116
39250,153171543365412,1190,1004
40550,155802506495884,1395,1268
40500,155802506495884,1647,1179
40250,155802506495884,941,801
39800,158936582835036,689,461
39850,158936582835036,692,432
39700,158936582835036,615,427
38600,164839588899374,1550,1287
38650,164839588899374,1445,1133
38500,164839588899374,1237,946
2586,166334535399167,255,151
2571,166334535399167,214,148
2536,166334535399167,223,137
40450,169284061674489,741,644
40250,169284061674489,792,638
40850,169284061674489,821,620
40850,173547701231029,939,804
40800,173547701231029,723,624
40900,173547701231029,742,598
39000,174480551218092,1832,1450
39050,174480551218092,1345,1137
38900,174480551218092,1238,1098
40850,176958570975681,728,600
40800,176958570975681,585,457
40900,176958570975681,517,447
40250,177630180901961,1209,1038
40150,177630180901961,1136,942
40200,177630180901961,1147,909
7781,180258693949912,621,564
7786,180258693949912,605,542
7791,180258693949912,570,443
39850,180704613907188,729,462
39800,180704613907188,632,450
39650,180704613907188,586,433
2561,190384509592565,150,42
2576,190384509592565,111,38
2596,190384509592565,136,36
39750,191106976197355,1553,1097
39800,191106976197355,1406,1006
39850,191106976197355,1210,959
38050,191727876117281,439,292
38250,191727876117281,385,290
38150,191727876117281,407,277
39950,192692372670283,675,479
40150,192692372670283,583,477
39800,192692372670283,650,468
40850,199197855374442,479,384
40800,199197855374442,389,315
40900,199197855374442,358,304
40250,203794024725488,802,703
40750,203794024725488,1130,694
40700,203794024725488,1182,676
40800,214786096833734,1182,885
40850,214786096833734,976,731
40250,214786096833734,760,663
39750,215700066730957,1518,1199
39800,215700066730957,1162,982
39650,215700066730957,1211,980
39800,218801276362390,1693,1239
39850,218801276362390,1392,1165
39750,218801276362390,1329,1020
40450,234149291803603,1691,1239
40500,234149291803603,1351,1029
40250,234149291803603,1045,928
38750,234846741741899,473,359
37950,234846741741899,596,335
38250,234846741741899,463,323
39300,235343141691258,1735,1169
39250,235343141691258,1339,1113
39200,235343141691258,1189,1005
39600,235987994946611,1566,1246
39650,235987994946611,1502,1129
39550,235987994946611,1361,1124
40850,247353410505415,758,632
