anchor_idx,query_idx,num_matches,num_inliers,anchor_range
4000,5000,274,250,"(4000, 4200)"
4010,5000,242,241,"(4000, 4200)"
4020,5000,158,134,"(4000, 4200)"
4160,5000,65,35,"(4000, 4200)"
4080,5000,37,29,"(4000, 4200)"
4070,5000,42,23,"(4000, 4200)"
4140,5000,48,23,"(4000, 4200)"
4030,5000,41,22,"(4000, 4200)"
4170,5000,31,21,"(4000, 4200)"
4150,5000,43,17,"(4000, 4200)"
4000,5020,244,184,"(4000, 4200)"
4010,5020,218,179,"(4000, 4200)"
4020,5020,176,171,"(4000, 4200)"
4030,5020,140,134,"(4000, 4200)"
4120,5020,53,23,"(4000, 4200)"
4070,5020,30,21,"(4000, 4200)"
4110,5020,28,20,"(4000, 4200)"
4130,5020,23,17,"(4000, 4200)"
4150,5020,40,17,"(4000, 4200)"
4160,5020,37,17,"(4000, 4200)"
4040,5040,562,497,"(4000, 4200)"
4050,5040,539,455,"(4000, 4200)"
4030,5040,498,445,"(4000, 4200)"
4020,5040,443,419,"(4000, 4200)"
4010,5040,437,343,"(4000, 4200)"
4000,5040,400,331,"(4000, 4200)"
4060,5040,402,315,"(4000, 4200)"
4070,5040,306,277,"(4000, 4200)"
4080,5040,250,229,"(4000, 4200)"
4110,5040,215,196,"(4000, 4200)"
4060,5060,1144,1086,"(4000, 4200)"
4040,5060,1015,929,"(4000, 4200)"
4050,5060,1167,923,"(4000, 4200)"
4070,5060,962,897,"(4000, 4200)"
4080,5060,827,778,"(4000, 4200)"
4030,5060,853,751,"(4000, 4200)"
4010,5060,651,611,"(4000, 4200)"
4100,5060,638,582,"(4000, 4200)"
4090,5060,705,566,"(4000, 4200)"
4000,5060,628,559,"(4000, 4200)"
4070,5080,1631,1526,"(4000, 4200)"
4060,5080,1367,1358,"(4000, 4200)"
4080,5080,1196,1141,"(4000, 4200)"
4050,5080,1043,1003,"(4000, 4200)"
4090,5080,930,821,"(4000, 4200)"
4040,5080,904,725,"(4000, 4200)"
4030,5080,790,714,"(4000, 4200)"
4020,5080,717,702,"(4000, 4200)"
4100,5080,755,685,"(4000, 4200)"
4110,5080,708,634,"(4000, 4200)"
4080,5100,1571,1533,"(4000, 4200)"
4090,5100,1388,1213,"(4000, 4200)"
4070,5100,1158,1070,"(4000, 4200)"
4100,5100,1021,1017,"(4000, 4200)"
4060,5100,917,851,"(4000, 4200)"
4110,5100,875,849,"(4000, 4200)"
4050,5100,817,753,"(4000, 4200)"
4120,5100,778,750,"(4000, 4200)"
4130,5100,721,664,"(4000, 4200)"
4040,5100,739,650,"(4000, 4200)"
4100,5120,1667,1521,"(4000, 4200)"
4110,5120,1289,1239,"(4000, 4200)"
4090,5120,1174,1170,"(4000, 4200)"
4120,5120,1001,942,"(4000, 4200)"
4080,5120,932,849,"(4000, 4200)"
4130,5120,840,744,"(4000, 4200)"
4140,5120,737,683,"(4000, 4200)"
4070,5120,779,660,"(4000, 4200)"
4050,5120,677,654,"(4000, 4200)"
4150,5120,738,634,"(4000, 4200)"
4120,5140,1644,1482,"(4000, 4200)"
4130,5140,1299,1181,"(4000, 4200)"
4110,5140,1159,1119,"(4000, 4200)"
4140,5140,1021,999,"(4000, 4200)"
4150,5140,917,869,"(4000, 4200)"
4100,5140,962,831,"(4000, 4200)"
4090,5140,802,774,"(4000, 4200)"
4080,5140,728,667,"(4000, 4200)"
4160,5140,784,657,"(4000, 4200)"
4170,5140,693,638,"(4000, 4200)"
4150,5160,1454,1335,"(4000, 4200)"
4140,5160,1563,1297,"(4000, 4200)"
4160,5160,1154,1142,"(4000, 4200)"
4130,5160,1128,1073,"(4000, 4200)"
4170,5160,954,904,"(4000, 4200)"
4120,5160,966,819,"(4000, 4200)"
4110,5160,785,713,"(4000, 4200)"
4180,5160,816,711,"(4000, 4200)"
4090,5160,672,648,"(4000, 4200)"
4100,5160,732,645,"(4000, 4200)"
4170,5180,1714,1584,"(4000, 4200)"
4160,5180,1393,1180,"(4000, 4200)"
4180,5180,1216,1143,"(4000, 4200)"
4150,5180,1107,1068,"(4000, 4200)"
4140,5180,957,846,"(4000, 4200)"
4190,5180,867,785,"(4000, 4200)"
4130,5180,821,756,"(4000, 4200)"
4120,5180,709,623,"(4000, 4200)"
4110,5180,667,604,"(4000, 4200)"
4100,5180,578,485,"(4000, 4200)"
10610,7800,1418,1401,"(10500, 10950)"
10600,7800,1333,1201,"(10500, 10950)"
10620,7800,1073,918,"(10500, 10950)"
10630,7800,947,913,"(10500, 10950)"
10590,7800,937,893,"(10500, 10950)"
10640,7800,837,764,"(10500, 10950)"
10660,7800,731,691,"(10500, 10950)"
10650,7800,769,653,"(10500, 10950)"
10580,7800,699,648,"(10500, 10950)"
10680,7800,676,625,"(10500, 10950)"
10640,7820,1736,1603,"(10500, 10950)"
10650,7820,1383,1375,"(10500, 10950)"
10660,7820,1125,1051,"(10500, 10950)"
10630,7820,1272,1032,"(10500, 10950)"
10620,7820,1052,1012,"(10500, 10950)"
10670,7820,1013,948,"(10500, 10950)"
10610,7820,903,849,"(10500, 10950)"
10680,7820,922,838,"(10500, 10950)"
10690,7820,847,827,"(10500, 10950)"
10700,7820,791,751,"(10500, 10950)"
10680,7840,1645,1624,"(10500, 10950)"
10690,7840,1566,1354,"(10500, 10950)"
10700,7840,1331,1329,"(10500, 10950)"
10670,7840,1353,1176,"(10500, 10950)"
10710,7840,1149,1102,"(10500, 10950)"
10660,7840,1140,1087,"(10500, 10950)"
10720,7840,1023,959,"(10500, 10950)"
10650,7840,980,954,"(10500, 10950)"
10730,7840,939,852,"(10500, 10950)"
10640,7840,870,822,"(10500, 10950)"
10740,7860,1483,1269,"(10500, 10950)"
10750,7860,1256,1210,"(10500, 10950)"
10730,7860,1426,1188,"(10500, 10950)"
10720,7860,1246,1122,"(10500, 10950)"
10710,7860,1136,1047,"(10500, 10950)"
10760,7860,1046,929,"(10500, 10950)"
10700,7860,1022,886,"(10500, 10950)"
10690,7860,912,885,"(10500, 10950)"
10770,7860,924,877,"(10500, 10950)"
10680,7860,872,853,"(10500, 10950)"
10780,7880,1478,1340,"(10500, 10950)"
10770,7880,1447,1313,"(10500, 10950)"
10790,7880,1189,1164,"(10500, 10950)"
10760,7880,1167,1143,"(10500, 10950)"
10800,7880,1078,993,"(10500, 10950)"
10750,7880,1044,851,"(10500, 10950)"
10740,7880,921,830,"(10500, 10950)"
10810,7880,946,801,"(10500, 10950)"
10730,7880,837,780,"(10500, 10950)"
10820,7880,869,780,"(10500, 10950)"
10810,7900,1605,1505,"(10500, 10950)"
10800,7900,1329,1244,"(10500, 10950)"
10820,7900,1238,1159,"(10500, 10950)"
10830,7900,1075,1021,"(10500, 10950)"
10790,7900,1040,1013,"(10500, 10950)"
10780,7900,927,892,"(10500, 10950)"
10840,7900,929,844,"(10500, 10950)"
10850,7900,885,835,"(10500, 10950)"
10770,7900,849,749,"(10500, 10950)"
10870,7900,823,743,"(10500, 10950)"
10840,7920,1572,1472,"(10500, 10950)"
10830,7920,1469,1230,"(10500, 10950)"
10850,7920,1288,1218,"(10500, 10950)"
10820,7920,1181,1180,"(10500, 10950)"
10860,7920,1087,1017,"(10500, 10950)"
10870,7920,999,968,"(10500, 10950)"
10810,7920,987,961,"(10500, 10950)"
10880,7920,930,858,"(10500, 10950)"
10800,7920,847,761,"(10500, 10950)"
10790,7920,817,734,"(10500, 10950)"
10860,7940,1589,1480,"(10500, 10950)"
10870,7940,1436,1378,"(10500, 10950)"
10850,7940,1299,1221,"(10500, 10950)"
10880,7940,1204,1139,"(10500, 10950)"
10840,7940,1113,1051,"(10500, 10950)"
10890,7940,1077,1001,"(10500, 10950)"
10830,7940,1021,977,"(10500, 10950)"
10900,7940,997,941,"(10500, 10950)"
10910,7940,900,841,"(10500, 10950)"
10820,7940,897,800,"(10500, 10950)"
10890,7960,1918,1858,"(10500, 10950)"
10880,7960,1403,1370,"(10500, 10950)"
10900,7960,1317,1306,"(10500, 10950)"
10870,7960,1175,1122,"(10500, 10950)"
10910,7960,1132,952,"(10500, 10950)"
10860,7960,1027,919,"(10500, 10950)"
10840,7960,862,840,"(10500, 10950)"
10850,7960,911,824,"(10500, 10950)"
10920,7960,989,822,"(10500, 10950)"
10940,7960,832,813,"(10500, 10950)"
10910,7980,1815,1667,"(10500, 10950)"
10920,7980,1360,1308,"(10500, 10950)"
10900,7980,1300,1262,"(10500, 10950)"
10890,7980,1100,1031,"(10500, 10950)"
10880,7980,1013,956,"(10500, 10950)"
10930,7980,1068,892,"(10500, 10950)"
10940,7980,927,855,"(10500, 10950)"
10860,7980,890,819,"(10500, 10950)"
10870,7980,924,800,"(10500, 10950)"
10850,7980,809,779,"(10500, 10950)"
8690,8700,1116,893,"(8000, 8700)"
8680,8700,585,543,"(8000, 8700)"
8000,8700,464,409,"(8000, 8700)"
8670,8700,300,263,"(8000, 8700)"
8010,8700,283,262,"(8000, 8700)"
8020,8700,211,201,"(8000, 8700)"
8030,8700,136,116,"(8000, 8700)"
8050,8700,103,97,"(8000, 8700)"
8040,8700,113,93,"(8000, 8700)"
8060,8700,109,92,"(8000, 8700)"
8010,8720,1072,1066,"(8000, 8700)"
8020,8720,1052,1013,"(8000, 8700)"
8000,8720,894,844,"(8000, 8700)"
8030,8720,789,781,"(8000, 8700)"
8040,8720,684,639,"(8000, 8700)"
8050,8720,625,528,"(8000, 8700)"
8070,8720,553,477,"(8000, 8700)"
