anchor_idx,query_idx,num_matches,num_inliers,anchor_range
460,3026,1010,939,"(0, 1145)"
450,3026,993,899,"(0, 1145)"
440,3026,962,887,"(0, 1145)"
720,3046,1346,1309,"(0, 1145)"
710,3046,1351,1302,"(0, 1145)"
700,3046,1076,1015,"(0, 1145)"
760,3066,1709,1535,"(0, 1145)"
770,3066,1189,1157,"(0, 1145)"
750,3066,1188,1148,"(0, 1145)"
800,3086,1799,1642,"(0, 1145)"
790,3086,1164,1143,"(0, 1145)"
810,3086,1144,998,"(0, 1145)"
830,3106,1565,1307,"(0, 1145)"
840,3106,1210,1201,"(0, 1145)"
820,3106,1030,944,"(0, 1145)"
860,3126,1552,1514,"(0, 1145)"
870,3126,1148,1060,"(0, 1145)"
850,3126,988,952,"(0, 1145)"
890,3146,1800,1587,"(0, 1145)"
880,3146,1035,906,"(0, 1145)"
900,3146,1019,830,"(0, 1145)"
920,3166,1282,1278,"(0, 1145)"
910,3166,1167,1091,"(0, 1145)"
930,3166,827,787,"(0, 1145)"
940,3186,1870,1637,"(0, 1145)"
950,3186,998,915,"(0, 1145)"
930,3186,954,843,"(0, 1145)"
970,3206,1330,1323,"(0, 1145)"
960,3206,1189,1177,"(0, 1145)"
980,3206,832,714,"(0, 1145)"
990,3226,1923,1831,"(0, 1145)"
980,3226,986,828,"(0, 1145)"
1000,3226,944,782,"(0, 1145)"
1010,3246,1445,1390,"(0, 1145)"
1020,3246,1067,1008,"(0, 1145)"
1000,3246,813,785,"(0, 1145)"
1030,3266,1205,1193,"(0, 1145)"
1040,3266,1159,1139,"(0, 1145)"
1050,3266,741,657,"(0, 1145)"
1060,3286,1303,1220,"(0, 1145)"
1050,3286,1127,1104,"(0, 1145)"
1070,3286,834,757,"(0, 1145)"
1080,3306,1325,1266,"(0, 1145)"
1070,3306,1238,1134,"(0, 1145)"
1060,3306,863,705,"(0, 1145)"
1100,3326,1425,1298,"(0, 1145)"
1090,3326,1388,1248,"(0, 1145)"
1110,3326,982,922,"(0, 1145)"
1110,3346,1540,1499,"(0, 1145)"
1120,3346,1446,1361,"(0, 1145)"
1100,3346,1029,1000,"(0, 1145)"
1130,3366,1621,1558,"(0, 1145)"
1140,3366,1399,1368,"(0, 1145)"
1120,3366,1163,1107,"(0, 1145)"
1140,3386,1450,1426,"(0, 1145)"
1130,3386,1108,1021,"(0, 1145)"
1120,3386,841,778,"(0, 1145)"
1140,3406,881,831,"(0, 1145)"
1130,3406,638,577,"(0, 1145)"
1120,3406,509,413,"(0, 1145)"
1175,3421,1830,1732,"(1145, 1496)"
1165,3421,1180,1125,"(1145, 1496)"
1185,3421,1041,920,"(1145, 1496)"
1195,3441,1497,1463,"(1145, 1496)"
1185,3441,1257,1171,"(1145, 1496)"
1205,3441,1070,946,"(1145, 1496)"
1215,3461,1343,1311,"(1145, 1496)"
1205,3461,1385,1237,"(1145, 1496)"
1195,3461,938,865,"(1145, 1496)"
1235,3481,1259,1253,"(1145, 1496)"
1225,3481,1369,1173,"(1145, 1496)"
1215,3481,942,890,"(1145, 1496)"
1245,3501,1295,1285,"(1145, 1496)"
1255,3501,1203,1045,"(1145, 1496)"
1265,3501,832,826,"(1145, 1496)"
1265,3521,1360,1199,"(1145, 1496)"
1275,3521,1205,1132,"(1145, 1496)"
1255,3521,833,742,"(1145, 1496)"
1285,3541,1492,1283,"(1145, 1496)"
1295,3541,1101,1061,"(1145, 1496)"
1275,3541,868,736,"(1145, 1496)"
1305,3561,1576,1306,"(1145, 1496)"
1315,3561,1061,952,"(1145, 1496)"
1295,3561,922,906,"(1145, 1496)"
1325,3581,1643,1505,"(1145, 1496)"
1335,3581,981,802,"(1145, 1496)"
1315,3581,899,786,"(1145, 1496)"
1345,3601,1659,1649,"(1145, 1496)"
1355,3601,1090,1007,"(1145, 1496)"
1335,3601,930,911,"(1145, 1496)"
1365,3621,1553,1542,"(1145, 1496)"
1375,3621,1097,1029,"(1145, 1496)"
1355,3621,895,791,"(1145, 1496)"
1385,3641,1461,1407,"(1145, 1496)"
1395,3641,1146,1137,"(1145, 1496)"
1375,3641,865,791,"(1145, 1496)"
1405,3661,1379,1181,"(1145, 1496)"
1415,3661,1140,1082,"(1145, 1496)"
1395,3661,819,754,"(1145, 1496)"
1425,3681,1275,1270,"(1145, 1496)"
1435,3681,1052,924,"(1145, 1496)"
1445,3681,754,639,"(1145, 1496)"
1445,3701,1265,1132,"(1145, 1496)"
1455,3701,1096,1069,"(1145, 1496)"
1465,3701,719,689,"(1145, 1496)"
1465,3721,1443,1392,"(1145, 1496)"
1475,3721,1161,1078,"(1145, 1496)"
1455,3721,890,827,"(1145, 1496)"
1485,3741,1586,1564,"(1145, 1496)"
1475,3741,1097,1071,"(1145, 1496)"
1495,3741,1124,979,"(1145, 1496)"
1495,3761,1005,852,"(1145, 1496)"
1485,3761,941,797,"(1145, 1496)"
1475,3761,818,754,"(1145, 1496)"
5360,6000,673,493,"(4600, 5390)"
5350,6000,686,438,"(4600, 5390)"
5340,6000,654,411,"(4600, 5390)"
5340,6020,787,539,"(4600, 5390)"
5330,6020,708,478,"(4600, 5390)"
5320,6020,691,424,"(4600, 5390)"
5320,6040,776,522,"(4600, 5390)"
5330,6040,666,482,"(4600, 5390)"
5280,6040,608,365,"(4600, 5390)"
5300,6060,724,498,"(4600, 5390)"
5280,6060,725,462,"(4600, 5390)"
5290,6060,718,456,"(4600, 5390)"
5280,6080,815,557,"(4600, 5390)"
5290,6080,622,489,"(4600, 5390)"
5270,6080,754,437,"(4600, 5390)"
5260,6100,805,553,"(4600, 5390)"
5270,6100,653,474,"(4600, 5390)"
5250,6100,723,420,"(4600, 5390)"
5250,6120,601,453,"(4600, 5390)"
5240,6120,647,414,"(4600, 5390)"
5230,6120,669,359,"(4600, 5390)"
5210,6140,748,467,"(4600, 5390)"
5220,6140,673,465,"(4600, 5390)"
5230,6140,496,404,"(4600, 5390)"
5200,6160,490,338,"(4600, 5390)"
5190,6160,539,293,"(4600, 5390)"
5210,6160,382,264,"(4600, 5390)"
5180,6180,441,302,"(4600, 5390)"
5100,6180,519,270,"(4600, 5390)"
5090,6180,427,241,"(4600, 5390)"
5140,6200,662,449,"(4600, 5390)"
5150,6200,564,398,"(4600, 5390)"
5090,6200,539,352,"(4600, 5390)"
5100,6220,742,520,"(4600, 5390)"
5120,6220,694,466,"(4600, 5390)"
5110,6220,700,459,"(4600, 5390)"
5090,6240,638,443,"(4600, 5390)"
5080,6240,621,404,"(4600, 5390)"
5100,6240,533,381,"(4600, 5390)"
5060,6260,407,281,"(4600, 5390)"
5070,6260,422,280,"(4600, 5390)"
5040,6260,320,161,"(4600, 5390)"
5020,6280,486,297,"(4600, 5390)"
5040,6280,391,237,"(4600, 5390)"
