anchor_idx,query_idx,num_matches,num_inliers
0,6000,55,26
0,6050,23,12
0,6100,32,15
0,6150,4,0
0,6200,11,7
0,6250,13,7
0,6300,68,25
0,6350,28,15
0,6400,65,24
0,6450,9,7
0,6500,19,11
0,6550,47,18
0,6600,29,12
0,6650,18,10
0,6700,24,13
0,6750,18,11
0,6800,11,7
0,6850,15,11
0,6900,5,0
0,6950,6,0
0,7000,41,13
0,7050,16,9
0,7100,44,15
0,7150,31,13
50,6000,82,53
50,6050,16,12
50,6100,78,41
50,6150,79,35
50,6200,37,17
50,6250,14,8
50,6300,56,24
50,6350,62,21
50,6400,71,27
50,6450,68,26
50,6500,74,20
50,6550,79,25
50,6600,26,11
50,6650,29,12
50,6700,12,7
50,6750,2,0
50,6800,6,0
50,6850,9,7
50,6900,12,7
50,6950,13,7
50,7000,33,19
50,7050,25,13
50,7100,23,12
50,7150,21,11
100,6000,73,41
100,6050,52,24
100,6100,58,23
100,6150,32,17
100,6200,56,24
100,6250,42,16
100,6300,112,32
100,6350,89,22
100,6400,121,38
100,6450,128,34
100,6500,59,20
100,6550,67,25
100,6600,21,12
100,6650,26,15
100,6700,13,7
100,6750,21,11
100,6800,18,13
100,6850,9,7
100,6900,42,20
100,6950,34,13
100,7000,24,13
100,7050,22,12
100,7100,1,0
100,7150,7,0
150,6000,119,45
150,6050,47,18
150,6100,31,17
150,6150,46,22
150,6200,40,23
150,6250,21,11
150,6300,36,22
150,6350,34,17
150,6400,96,25
150,6450,82,27
150,6500,114,46
150,6550,125,45
150,6600,38,18
150,6650,44,19
150,6700,40,22
150,6750,29,16
150,6800,18,15
150,6850,17,11
150,6900,32,16
150,6950,12,7
150,7000,56,16
150,7050,6,0
150,7100,10,7
150,7150,26,14
200,6000,117,47
200,6050,5,0
200,6100,24,13
200,6150,29,18
200,6200,59,26
200,6250,8,7
200,6300,5,0
200,6350,1,0
200,6400,104,25
200,6450,36,15
200,6500,60,24
200,6550,51,17
200,6600,29,17
200,6650,30,15
200,6700,15,11
200,6750,0,0
200,6800,1,0
200,6850,4,0
200,6900,9,7
200,6950,28,13
200,7000,34,13
200,7050,17,10
200,7100,12,7
200,7150,9,7
250,6000,123,38
250,6050,92,24
250,6100,41,19
250,6150,36,20
250,6200,157,41
250,6250,31,18
250,6300,114,29
250,6350,90,34
250,6400,138,37
250,6450,117,29
250,6500,87,27
250,6550,78,26
250,6600,26,15
250,6650,7,0
250,6700,15,10
250,6750,2,0
250,6800,8,7
250,6850,9,7
250,6900,16,10
250,6950,6,0
250,7000,9,7
250,7050,27,14
250,7100,0,0
250,7150,2,0
300,6000,77,35
300,6050,64,22
300,6100,50,18
300,6150,27,16
300,6200,76,37
300,6250,48,22
300,6300,83,23
300,6350,98,31
300,6400,128,33
300,6450,65,20
300,6500,74,23
300,6550,71,34
300,6600,5,0
300,6650,24,12
300,6700,34,18
300,6750,7,0
300,6800,10,7
300,6850,11,7
300,6900,20,11
300,6950,9,7
300,7000,76,35
300,7050,39,15
300,7100,0,0
300,7150,2,0
350,6000,129,30
350,6050,62,20
350,6100,53,22
350,6150,38,19
350,6200,81,30
350,6250,134,47
350,6300,58,24
350,6350,62,25
350,6400,71,30
350,6450,5,0
350,6500,17,10
350,6550,13,7
350,6600,2,0
350,6650,4,0
350,6700,11,7
350,6750,15,10
350,6800,10,7
350,6850,20,13
350,6900,22,11
350,6950,16,10
350,7000,36,15
350,7050,34,15
350,7100,16,10
350,7150,9,7
400,6000,34,13
400,6050,35,15
400,6100,43,21
400,6150,49,20
400,6200,42,21
400,6250,65,23
400,6300,60,25
400,6350,84,17
400,6400,72,24
400,6450,3,0
400,6500,36,16
400,6550,8,6
400,6600,0,0
400,6650,1,0
400,6700,4,0
400,6750,1,0
400,6800,1,0
400,6850,0,0
400,6900,0,0
400,6950,22,12
400,7000,24,13
400,7050,52,20
400,7100,13,7
400,7150,37,16
450,6000,105,34
450,6050,64,20
450,6100,69,20
450,6150,66,24
450,6200,55,28
450,6250,64,20
450,6300,78,21
450,6350,85,23
450,6400,141,38
450,6450,68,21
450,6500,55,20
450,6550,17,10
450,6600,1,0
450,6650,0,0
450,6700,3,0
450,6750,3,0
450,6800,2,0
450,6850,0,0
450,6900,5,0
450,6950,7,0
450,7000,5,0
450,7050,8,7
450,7100,2,0
450,7150,45,23
500,6000,114,88
500,6050,87,69
500,6100,33,19
500,6150,60,17
500,6200,70,30
500,6250,39,18
500,6300,18,12
500,6350,81,35
500,6400,77,32
500,6450,30,17
500,6500,3,0
500,6550,36,17
500,6600,7,0
500,6650,25,14
500,6700,23,16
500,6750,4,0
500,6800,27,13
500,6850,16,10
500,6900,13,7
500,6950,3,0
500,7000,15,10
500,7050,42,16
500,7100,4,0
500,7150,62,20
550,6000,452,353
550,6050,354,300
550,6100,231,195
