anchor_idx,query_idx,num_matches,num_inliers,anchor_range
9350,2000,539,525,"(8000, 10000)"
9300,2000,528,486,"(8000, 10000)"
9400,2000,543,457,"(8000, 10000)"
9350,2050,493,447,"(8000, 10000)"
9400,2050,519,433,"(8000, 10000)"
9300,2050,466,411,"(8000, 10000)"
9400,2100,482,423,"(8000, 10000)"
9350,2100,431,393,"(8000, 10000)"
9300,2100,447,386,"(8000, 10000)"
9300,2150,520,480,"(8000, 10000)"
9400,2150,546,470,"(8000, 10000)"
9350,2150,494,460,"(8000, 10000)"
9300,2200,349,326,"(8000, 10000)"
9400,2200,372,318,"(8000, 10000)"
9450,2200,338,296,"(8000, 10000)"
9400,2250,341,303,"(8000, 10000)"
9350,2250,335,273,"(8000, 10000)"
9450,2250,302,262,"(8000, 10000)"
9400,2300,367,296,"(8000, 10000)"
9450,2300,295,258,"(8000, 10000)"
9350,2300,277,254,"(8000, 10000)"
9450,2350,244,196,"(8000, 10000)"
9300,2350,194,177,"(8000, 10000)"
9550,2350,201,171,"(8000, 10000)"
39450,2500,1505,1349,"(39300, 42434)"
39500,2500,1191,1069,"(39300, 42434)"
39400,2500,1125,1039,"(39300, 42434)"
39500,2550,1541,1493,"(39300, 42434)"
39450,2550,1105,978,"(39300, 42434)"
39550,2550,1035,957,"(39300, 42434)"
39550,2600,1452,1291,"(39300, 42434)"
39500,2600,1223,1102,"(39300, 42434)"
39600,2600,1072,963,"(39300, 42434)"
39600,2650,1523,1326,"(39300, 42434)"
39650,2650,1215,1134,"(39300, 42434)"
39550,2650,1266,1102,"(39300, 42434)"
39650,2700,1828,1622,"(39300, 42434)"
39700,2700,1315,1210,"(39300, 42434)"
39600,2700,1352,1165,"(39300, 42434)"
39700,2750,1779,1446,"(39300, 42434)"
39650,2750,1304,1254,"(39300, 42434)"
39750,2750,1311,1135,"(39300, 42434)"
39750,2800,1753,1575,"(39300, 42434)"
39700,2800,1384,1208,"(39300, 42434)"
39800,2800,1257,1146,"(39300, 42434)"
39800,2850,1659,1611,"(39300, 42434)"
39750,2850,1315,1110,"(39300, 42434)"
39850,2850,1187,1103,"(39300, 42434)"
39850,2900,1462,1216,"(39300, 42434)"
39800,2900,1285,1197,"(39300, 42434)"
39900,2900,1181,1114,"(39300, 42434)"
39900,2950,1599,1423,"(39300, 42434)"
39850,2950,1303,1153,"(39300, 42434)"
39950,2950,1127,1099,"(39300, 42434)"
39950,3000,1473,1385,"(39300, 42434)"
39900,3000,1248,1106,"(39300, 42434)"
40000,3000,1087,1054,"(39300, 42434)"
40000,3050,1492,1367,"(39300, 42434)"
39950,3050,1334,1195,"(39300, 42434)"
40050,3050,1070,989,"(39300, 42434)"
40000,3100,1346,1278,"(39300, 42434)"
40050,3100,1525,1254,"(39300, 42434)"
40100,3100,1131,1007,"(39300, 42434)"
40100,3150,1699,1622,"(39300, 42434)"
40050,3150,1551,1415,"(39300, 42434)"
40150,3150,1257,1223,"(39300, 42434)"
40100,3200,1303,1183,"(39300, 42434)"
40150,3200,1237,1080,"(39300, 42434)"
40050,3200,953,831,"(39300, 42434)"
40150,3250,1303,1224,"(39300, 42434)"
40200,3250,1126,1036,"(39300, 42434)"
40100,3250,954,819,"(39300, 42434)"
40200,3300,1242,1061,"(39300, 42434)"
40250,3300,1156,1025,"(39300, 42434)"
40150,3300,907,820,"(39300, 42434)"
40250,3350,1391,1320,"(39300, 42434)"
40300,3350,1256,1205,"(39300, 42434)"
40200,3350,1030,823,"(39300, 42434)"
40300,3400,1692,1634,"(39300, 42434)"
40350,3400,1545,1427,"(39300, 42434)"
40400,3400,1152,1141,"(39300, 42434)"
40350,3450,1702,1651,"(39300, 42434)"
40400,3450,1455,1283,"(39300, 42434)"
40300,3450,1233,1209,"(39300, 42434)"
40400,3500,1691,1481,"(39300, 42434)"
40450,3500,1312,1176,"(39300, 42434)"
40350,3500,1183,1122,"(39300, 42434)"
40450,3550,1704,1646,"(39300, 42434)"
40500,3550,1415,1276,"(39300, 42434)"
40400,3550,1313,1251,"(39300, 42434)"
40500,3600,1757,1480,"(39300, 42434)"
40450,3600,1393,1215,"(39300, 42434)"
40550,3600,1317,1141,"(39300, 42434)"
40550,3650,1823,1619,"(39300, 42434)"
40600,3650,1275,1242,"(39300, 42434)"
40500,3650,1356,1220,"(39300, 42434)"
40600,3700,1846,1726,"(39300, 42434)"
40650,3700,1257,1249,"(39300, 42434)"
40550,3700,1369,1188,"(39300, 42434)"
40650,3750,1800,1632,"(39300, 42434)"
40700,3750,1250,1188,"(39300, 42434)"
40600,3750,1317,1049,"(39300, 42434)"
40700,3800,1794,1511,"(39300, 42434)"
40650,3800,1387,1304,"(39300, 42434)"
40750,3800,1201,1088,"(39300, 42434)"
40750,3850,1537,1348,"(39300, 42434)"
40700,3850,1398,1221,"(39300, 42434)"
40650,3850,1061,1039,"(39300, 42434)"
40800,3900,1384,1365,"(39300, 42434)"
40750,3900,1446,1251,"(39300, 42434)"
40850,3900,1053,1011,"(39300, 42434)"
40800,3950,1224,1185,"(39300, 42434)"
40850,3950,1275,1179,"(39300, 42434)"
40750,3950,1088,993,"(39300, 42434)"
40850,4000,1315,1213,"(39300, 42434)"
40800,4000,1073,1056,"(39300, 42434)"
40750,4000,897,858,"(39300, 42434)"
40850,4050,1109,1061,"(39300, 42434)"
40900,4050,972,906,"(39300, 42434)"
40800,4050,918,756,"(39300, 42434)"
40850,4100,973,896,"(39300, 42434)"
40800,4100,791,755,"(39300, 42434)"
40900,4100,844,715,"(39300, 42434)"
40850,4150,857,765,"(39300, 42434)"
40900,4150,812,660,"(39300, 42434)"
40750,4150,672,621,"(39300, 42434)"
40900,4200,846,769,"(39300, 42434)"
40850,4200,757,661,"(39300, 42434)"
40950,4200,747,641,"(39300, 42434)"
40950,4250,797,713,"(39300, 42434)"
40900,4250,709,679,"(39300, 42434)"
40850,4250,653,565,"(39300, 42434)"
41000,4300,657,639,"(39300, 42434)"
40950,4300,724,595,"(39300, 42434)"
40900,4300,613,559,"(39300, 42434)"
41000,4350,782,692,"(39300, 42434)"
41050,4350,729,622,"(39300, 42434)"
40950,4350,620,466,"(39300, 42434)"
41050,4400,815,672,"(39300, 42434)"
41100,4400,670,528,"(39300, 42434)"
41000,4400,584,435,"(39300, 42434)"
41100,4450,768,572,"(39300, 42434)"
41050,4450,572,382,"(39300, 42434)"
41150,4450,442,353,"(39300, 42434)"
41200,4500,701,700,"(39300, 42434)"
41150,4500,717,578,"(39300, 42434)"
41250,4500,615,563,"(39300, 42434)"
41250,4550,889,770,"(39300, 42434)"
41200,4550,916,733,"(39300, 42434)"
41300,4550,806,694,"(39300, 42434)"
41250,4600,1062,939,"(39300, 42434)"
41300,4600,981,803,"(39300, 42434)"
41200,4600,937,700,"(39300, 42434)"
41250,4650,1067,903,"(39300, 42434)"
41300,4650,1132,868,"(39300, 42434)"
41350,4650,962,783,"(39300, 42434)"
41350,4700,1250,1199,"(39300, 42434)"
41300,4700,1180,1064,"(39300, 42434)"
41400,4700,964,839,"(39300, 42434)"
41350,4750,1397,1240,"(39300, 42434)"
41400,4750,1274,1065,"(39300, 42434)"
41450,4750,980,899,"(39300, 42434)"
41400,4800,1464,1322,"(39300, 42434)"
41450,4800,1310,1264,"(39300, 42434)"
41350,4800,1143,1059,"(39300, 42434)"
41450,4850,1608,1456,"(39300, 42434)"
41500,4850,1236,1216,"(39300, 42434)"
41400,4850,1178,1096,"(39300, 42434)"
41500,4900,1574,1438,"(39300, 42434)"
41450,4900,1177,1127,"(39300, 42434)"
41550,4900,1153,1099,"(39300, 42434)"
41550,4950,1587,1520,"(39300, 42434)"
41500,4950,1213,1152,"(39300, 42434)"
41600,4950,1081,1035,"(39300, 42434)"
41600,5000,1484,1417,"(39300, 42434)"
41550,5000,1342,1250,"(39300, 42434)"
41650,5000,1058,1008,"(39300, 42434)"
41650,5050,1493,1316,"(39300, 42434)"
41600,5050,1378,1297,"(39300, 42434)"
41550,5050,944,862,"(39300, 42434)"
41650,5100,1337,1292,"(39300, 42434)"
41700,5100,1306,1198,"(39300, 42434)"
41600,5100,1040,934,"(39300, 42434)"
41700,5150,1366,1112,"(39300, 42434)"
41750,5150,1090,992,"(39300, 42434)"
41650,5150,695,634,"(39300, 42434)"
41750,5200,1434,1311,"(39300, 42434)"
41800,5200,1183,1045,"(39300, 42434)"
41850,5200,867,842,"(39300, 42434)"
41800,5250,1613,1570,"(39300, 42434)"
41850,5250,1296,1160,"(39300, 42434)"
41750,5250,930,824,"(39300, 42434)"
41850,5300,1629,1369,"(39300, 42434)"
41900,5300,1258,1240,"(39300, 42434)"
41800,5300,1239,1062,"(39300, 42434)"
41900,5350,1541,1438,"(39300, 42434)"
41950,5350,1341,1236,"(39300, 42434)"
41850,5350,1245,1224,"(39300, 42434)"
41950,5400,1525,1411,"(39300, 42434)"
42000,5400,1487,1284,"(39300, 42434)"
42050,5400,1209,1099,"(39300, 42434)"
42000,5450,1788,1592,"(39300, 42434)"
42050,5450,1443,1394,"(39300, 42434)"
41950,5450,1266,1237,"(39300, 42434)"
42050,5500,1413,1246,"(39300, 42434)"
42100,5500,1420,1210,"(39300, 42434)"
42000,5500,1139,1048,"(39300, 42434)"
42200,5550,845,730,"(39300, 42434)"
42150,5550,759,722,"(39300, 42434)"
42100,5550,753,712,"(39300, 42434)"
42300,5600,498,462,"(39300, 42434)"
42350,5600,304,272,"(39300, 42434)"
41700,5600,304,262,"(39300, 42434)"
42300,5650,434,344,"(39300, 42434)"
42200,5650,359,253,"(39300, 42434)"
41700,5650,213,172,"(39300, 42434)"
42300,5700,352,324,"(39300, 42434)"
42350,5700,224,194,"(39300, 42434)"
42200,5700,249,167,"(39300, 42434)"
42300,5750,593,540,"(39300, 42434)"
42400,5750,376,357,"(39300, 42434)"
42350,5750,393,355,"(39300, 42434)"
42300,5800,1069,996,"(39300, 42434)"
42400,5800,1054,944,"(39300, 42434)"
42350,5800,1172,938,"(39300, 42434)"
42400,5850,1072,891,"(39300, 42434)"
42350,5850,980,869,"(39300, 42434)"
42200,5850,868,802,"(39300, 42434)"
42100,5900,735,688,"(39300, 42434)"
42150,5900,738,600,"(39300, 42434)"
42200,5900,656,565,"(39300, 42434)"
42050,5950,771,689,"(39300, 42434)"
42100,5950,757,664,"(39300, 42434)"
41850,5950,672,622,"(39300, 42434)"
600,6000,1556,1317,"(0, 2000)"
650,6000,1587,1289,"(0, 2000)"
700,6000,1162,1096,"(0, 2000)"
650,6050,1430,1407,"(0, 2000)"
700,6050,1525,1343,"(0, 2000)"
750,6050,1140,1034,"(0, 2000)"
750,6100,1549,1487,"(0, 2000)"
700,6100,1475,1342,"(0, 2000)"
650,6100,1142,1096,"(0, 2000)"
800,6150,1591,1389,"(0, 2000)"
750,6150,1429,1161,"(0, 2000)"
850,6150,1147,1116,"(0, 2000)"
800,6200,1250,1234,"(0, 2000)"
850,6200,1272,1198,"(0, 2000)"
750,6200,978,952,"(0, 2000)"
850,6250,1231,1209,"(0, 2000)"
900,6250,1306,1079,"(0, 2000)"
950,6250,1255,1063,"(0, 2000)"
950,6300,1678,1379,"(0, 2000)"
1000,6300,1220,1208,"(0, 2000)"
900,6300,1224,1105,"(0, 2000)"
1000,6350,1802,1665,"(0, 2000)"
950,6350,1290,1209,"(0, 2000)"
1050,6350,1296,1133,"(0, 2000)"
1050,6400,1762,1463,"(0, 2000)"
1100,6400,1258,1120,"(0, 2000)"
1000,6400,1256,1098,"(0, 2000)"
1100,6450,1760,1512,"(0, 2000)"
1150,6450,1207,1123,"(0, 2000)"
1050,6450,1163,1071,"(0, 2000)"
1150,6500,1403,1215,"(0, 2000)"
1100,6500,1082,962,"(0, 2000)"
1200,6500,1003,897,"(0, 2000)"
1200,6550,1305,1117,"(0, 2000)"
1150,6550,1051,1011,"(0, 2000)"
1250,6550,978,928,"(0, 2000)"
1250,6600,1248,1166,"(0, 2000)"
1300,6600,931,906,"(0, 2000)"
1200,6600,919,780,"(0, 2000)"
1300,6650,1547,1504,"(0, 2000)"
1250,6650,1066,1026,"(0, 2000)"
1350,6650,1039,970,"(0, 2000)"
1350,6700,1455,1435,"(0, 2000)"
1300,6700,1109,1052,"(0, 2000)"
1400,6700,1160,1023,"(0, 2000)"
1400,6750,1435,1397,"(0, 2000)"
1450,6750,1128,1113,"(0, 2000)"
1350,6750,990,896,"(0, 2000)"
1450,6800,1517,1453,"(0, 2000)"
1500,6800,1253,1203,"(0, 2000)"
1400,6800,980,875,"(0, 2000)"
1500,6850,1739,1674,"(0, 2000)"
1450,6850,1074,1023,"(0, 2000)"
1550,6850,1113,995,"(0, 2000)"
1550,6900,1764,1587,"(0, 2000)"
1500,6900,1103,963,"(0, 2000)"
1600,6900,973,935,"(0, 2000)"
1600,6950,1717,1611,"(0, 2000)"
1550,6950,1079,1014,"(0, 2000)"
1650,6950,1019,969,"(0, 2000)"
1650,7000,1564,1388,"(0, 2000)"
1600,7000,1174,1144,"(0, 2000)"
1700,7000,1294,1122,"(0, 2000)"
1700,7050,1388,1344,"(0, 2000)"
1650,7050,1357,1304,"(0, 2000)"
1750,7050,1211,1161,"(0, 2000)"
1750,7100,1688,1601,"(0, 2000)"
1800,7100,1308,1161,"(0, 2000)"
1700,7100,1104,1047,"(0, 2000)"
1800,7150,1314,1202,"(0, 2000)"
1750,7150,1168,1095,"(0, 2000)"
1850,7150,1012,932,"(0, 2000)"
8800,7400,789,667,"(8000, 10000)"
8950,7400,677,630,"(8000, 10000)"
8850,7400,745,595,"(8000, 10000)"
8800,7450,459,415,"(8000, 10000)"
8900,7450,438,400,"(8000, 10000)"
8950,7450,448,398,"(8000, 10000)"
8950,7500,620,566,"(8000, 10000)"
8900,7500,551,532,"(8000, 10000)"
8800,7500,605,516,"(8000, 10000)"
8850,7550,708,659,"(8000, 10000)"
8800,7550,685,633,"(8000, 10000)"
8950,7550,699,616,"(8000, 10000)"
9050,7600,635,582,"(8000, 10000)"
8950,7600,594,575,"(8000, 10000)"
9000,7600,562,537,"(8000, 10000)"
9100,7650,888,755,"(8000, 10000)"
9050,7650,773,740,"(8000, 10000)"
9150,7650,707,659,"(8000, 10000)"
9150,7700,797,753,"(8000, 10000)"
9500,7700,768,691,"(8000, 10000)"
9250,7700,735,687,"(8000, 10000)"
9550,7750,1118,1070,"(8000, 10000)"
9500,7750,1103,1043,"(8000, 10000)"
9600,7750,872,820,"(8000, 10000)"
9500,7800,1243,1212,"(8000, 10000)"
9450,7800,1185,1136,"(8000, 10000)"
9400,7800,1178,1030,"(8000, 10000)"
9600,7850,1325,1142,"(8000, 10000)"
9650,7850,1074,1036,"(8000, 10000)"
9700,7850,1171,1012,"(8000, 10000)"
9700,7900,1761,1699,"(8000, 10000)"
9650,7900,1397,1217,"(8000, 10000)"
9750,7900,1269,1118,"(8000, 10000)"
9750,7950,1624,1436,"(8000, 10000)"
8000,7950,1476,1328,"(8000, 10000)"
9700,7950,1364,1252,"(8000, 10000)"
8250,10000,1666,1651,"(8000, 10000)"
8200,10000,1661,1499,"(8000, 10000)"
9950,10000,1419,1257,"(8000, 10000)"
8250,10050,1572,1421,"(8000, 10000)"
8200,10050,1395,1355,"(8000, 10000)"
8300,10050,1413,1243,"(8000, 10000)"
8350,10100,1515,1411,"(8000, 10000)"
8400,10100,1494,1326,"(8000, 10000)"
8300,10100,1255,1217,"(8000, 10000)"
8400,10150,1804,1642,"(8000, 10000)"
8450,10150,1530,1401,"(8000, 10000)"
8350,10150,1530,1362,"(8000, 10000)"
8400,10200,1506,1294,"(8000, 10000)"
8500,10200,1363,1258,"(8000, 10000)"
8450,10200,1486,1204,"(8000, 10000)"
8500,10250,1330,1210,"(8000, 10000)"
8450,10250,1240,1151,"(8000, 10000)"
8400,10250,1304,1125,"(8000, 10000)"
8600,10300,1289,1182,"(8000, 10000)"
8500,10300,1383,1138,"(8000, 10000)"
8400,10300,1133,1087,"(8000, 10000)"
8600,10350,1430,1268,"(8000, 10000)"
8550,10350,1259,1147,"(8000, 10000)"
8650,10350,1202,1104,"(8000, 10000)"
8600,10400,1488,1365,"(8000, 10000)"
8650,10400,1287,1207,"(8000, 10000)"
8550,10400,1095,942,"(8000, 10000)"
8600,10450,1178,1037,"(8000, 10000)"
8650,10450,1123,934,"(8000, 10000)"
8550,10450,970,924,"(8000, 10000)"
8550,10500,1058,936,"(8000, 10000)"
8600,10500,967,859,"(8000, 10000)"
8650,10500,1027,834,"(8000, 10000)"
8550,10550,1004,899,"(8000, 10000)"
8600,10550,829,775,"(8000, 10000)"
8650,10550,867,729,"(8000, 10000)"
8550,10600,886,750,"(8000, 10000)"
8650,10600,744,673,"(8000, 10000)"
8450,10600,709,632,"(8000, 10000)"
8550,10650,665,613,"(8000, 10000)"
8450,10650,679,560,"(8000, 10000)"
8500,10650,683,554,"(8000, 10000)"
8550,10700,753,700,"(8000, 10000)"
8500,10700,658,613,"(8000, 10000)"
8600,10700,669,598,"(8000, 10000)"
8650,10750,663,624,"(8000, 10000)"
8600,10750,724,622,"(8000, 10000)"
8550,10750,746,570,"(8000, 10000)"
8600,10800,661,577,"(8000, 10000)"
8650,10800,609,524,"(8000, 10000)"
8700,10800,529,494,"(8000, 10000)"
8650,10850,573,496,"(8000, 10000)"
8600,10850,615,473,"(8000, 10000)"
8550,10850,519,452,"(8000, 10000)"
8650,10900,553,471,"(8000, 10000)"
8600,10900,544,461,"(8000, 10000)"
8700,10900,487,418,"(8000, 10000)"
8650,10950,505,407,"(8000, 10000)"
8600,10950,453,390,"(8000, 10000)"
8550,10950,543,351,"(8000, 10000)"
29400,14000,460,310,"(27000, 30200)"
29350,14000,403,214,"(27000, 30200)"
29450,14000,342,187,"(27000, 30200)"
29400,14050,455,293,"(27000, 30200)"
29250,14050,467,283,"(27000, 30200)"
29200,14050,420,246,"(27000, 30200)"
29200,14100,398,249,"(27000, 30200)"
29100,14100,288,238,"(27000, 30200)"
29250,14100,346,234,"(27000, 30200)"
29100,14150,307,257,"(27000, 30200)"
28650,14150,331,245,"(27000, 30200)"
29150,14150,332,241,"(27000, 30200)"
28650,14200,433,332,"(27000, 30200)"
28750,14200,380,320,"(27000, 30200)"
28700,14200,337,308,"(27000, 30200)"
28650,14250,519,432,"(27000, 30200)"
28750,14250,414,333,"(27000, 30200)"
28800,14250,397,330,"(27000, 30200)"
28650,14300,489,434,"(27000, 30200)"
28500,14300,499,394,"(27000, 30200)"
28750,14300,441,367,"(27000, 30200)"
28650,14350,592,506,"(27000, 30200)"
28550,14350,550,451,"(27000, 30200)"
28500,14350,580,443,"(27000, 30200)"
28650,14400,683,612,"(27000, 30200)"
28700,14400,607,515,"(27000, 30200)"
28750,14400,541,503,"(27000, 30200)"
28650,14450,781,624,"(27000, 30200)"
28750,14450,616,548,"(27000, 30200)"
28700,14450,672,539,"(27000, 30200)"
28650,14500,823,697,"(27000, 30200)"
28700,14500,738,619,"(27000, 30200)"
28750,14500,678,583,"(27000, 30200)"
28700,14550,765,686,"(27000, 30200)"
28650,14550,820,635,"(27000, 30200)"
28750,14550,692,562,"(27000, 30200)"
28650,14600,869,741,"(27000, 30200)"
28700,14600,906,689,"(27000, 30200)"
28600,14600,734,604,"(27000, 30200)"
28700,14650,973,841,"(27000, 30200)"
28750,14650,916,717,"(27000, 30200)"
28650,14650,873,710,"(27000, 30200)"
28700,14700,849,786,"(27000, 30200)"
28850,14700,901,781,"(27000, 30200)"
28800,14700,902,734,"(27000, 30200)"
