anchor_idx,query_idx,num_matches,num_inliers
40850,4000,1315,1213
40800,4000,1073,1056
40900,4000,1176,1029
40850,4050,1109,1061
40900,4050,972,906
40800,4050,918,756
40850,4100,973,896
40800,4100,791,755
40900,4100,844,715
40850,4150,857,765
40900,4150,812,660
40750,4150,672,621
40900,4200,846,769
40850,4200,757,661
40950,4200,747,641
40950,4250,797,713
40900,4250,709,679
40850,4250,653,565
41000,4300,657,639
40950,4300,724,595
40900,4300,613,559
41000,4350,782,692
41050,4350,729,622
40950,4350,620,466
41050,4400,815,672
41100,4400,692,528
41000,4400,584,435
41100,4450,768,572
41200,4450,488,406
41250,4450,463,406
41200,4500,941,854
41250,4500,967,804
41400,4500,806,697
41300,4550,1543,1313
41500,4550,1482,1290
41350,4550,1629,1287
41300,4600,1508,1418
41350,4600,1770,1385
41400,4600,1696,1318
41350,4650,1750,1522
41400,4650,1690,1519
41600,4650,1576,1315
41400,4700,1788,1525
41550,4700,1742,1492
41350,4700,1663,1422
41450,4750,1886,1600
41550,4750,1912,1551
41400,4750,1724,1517
41500,4800,1927,1836
41550,4800,1919,1739
41600,4800,1877,1641
41550,4850,1965,1738
41500,4850,1806,1636
41600,4850,1899,1628
41550,4900,1880,1662
41600,4900,1873,1581
41650,4900,1885,1458
41550,4950,1722,1591
41650,4950,1930,1584
41600,4950,1715,1562
41650,5000,1883,1735
41600,5000,1719,1557
41700,5000,1516,1260
41650,5050,1843,1837
41600,5050,1378,1297
41700,5050,1399,1224
41700,5100,1689,1491
41650,5100,1337,1292
41600,5100,1040,934
41750,5150,1520,1357
41700,5150,1366,1112
41800,5150,894,777
41850,5200,1751,1652
41800,5200,1790,1530
41750,5200,1434,1311
41850,5250,1932,1719
41900,5250,1812,1678
41800,5250,1613,1570
41900,5300,1938,1744
41950,5300,1841,1647
41850,5300,1629,1369
41950,5350,1870,1781
41900,5350,1541,1512
41850,5350,1245,1224
41950,5400,1525,1411
41900,5400,1092,1060
41850,5400,1017,884
41950,5450,1266,1237
41900,5450,968,909
41850,5450,883,759
41950,5500,899,809
41850,5500,755,675
41800,5500,752,625
41750,5550,449,390
41800,5550,370,324
41850,5550,364,315
41700,5600,304,262
41750,5600,227,192
41650,5600,136,114
41700,5650,213,172
41750,5650,151,125
41650,5650,150,123
41700,5700,183,149
41750,5700,157,118
41500,5700,218,91
41750,5750,184,115
41700,5750,162,112
41550,5750,219,99
41750,5800,228,181
41800,5800,216,155
41700,5800,186,149
41800,5850,430,340
41750,5850,418,334
41950,5850,383,329
41800,5900,490,435
41950,5900,538,435
41900,5900,484,420
41850,5950,672,622
41800,5950,630,556
41950,5950,663,547
