anchor_idx,query_idx,num_matches,num_inliers
14000,28000,270,124
14000,28050,226,154
14000,28100,193,119
14000,28150,53,34
14000,28200,175,90
14000,28250,104,45
14000,28300,47,20
14000,28350,118,66
14000,28400,206,128
14000,28450,193,126
14000,28500,178,124
14000,28550,197,127
14000,28600,140,76
14000,28650,183,123
14000,28700,177,120
14000,28750,168,100
14000,28800,177,110
14000,28850,175,110
14000,28900,139,87
14000,28950,43,29
14000,29000,49,19
14000,29050,79,22
14000,29100,137,102
14000,29150,240,157
14000,29200,281,160
14000,29250,269,158
14000,29300,299,149
14000,29350,416,246
14000,29400,460,332
14000,29450,342,187
14000,29500,101,54
14000,29550,84,37
14000,29600,34,19
14000,29650,78,30
14000,29700,50,19
14000,29750,34,14
14000,29800,29,13
14000,29850,26,15
14000,29900,7,0
14000,29950,71,22
14050,28000,308,202
14050,28050,213,151
14050,28100,190,110
14050,28150,90,41
14050,28200,143,77
14050,28250,92,56
14050,28300,71,33
14050,28350,178,82
14050,28400,234,161
14050,28450,253,192
14050,28500,202,120
14050,28550,195,116
14050,28600,138,80
14050,28650,204,146
14050,28700,206,151
14050,28750,164,103
14050,28800,183,99
14050,28850,160,86
14050,28900,159,119
14050,28950,58,34
14050,29000,73,27
14050,29050,81,21
14050,29100,173,152
14050,29150,382,233
14050,29200,420,246
14050,29250,468,306
14050,29300,528,285
14050,29350,549,343
14050,29400,533,356
14050,29450,252,172
14050,29500,208,107
14050,29550,156,64
14050,29600,66,33
14050,29650,70,27
14050,29700,12,7
14050,29750,32,14
14050,29800,29,13
14050,29850,60,18
14050,29900,51,15
14050,29950,64,23
14100,28000,323,172
14100,28050,198,110
14100,28100,239,104
14100,28150,103,56
14100,28200,108,62
14100,28250,78,44
14100,28300,39,17
14100,28350,173,90
14100,28400,275,171
14100,28450,249,159
14100,28500,189,120
14100,28550,204,138
14100,28600,143,98
14100,28650,260,179
14100,28700,186,129
14100,28750,197,114
14100,28800,181,106
14100,28850,176,114
14100,28900,188,129
14100,28950,87,37
14100,29000,91,31
14100,29050,127,25
14100,29100,288,238
14100,29150,321,217
14100,29200,398,249
14100,29250,346,234
14100,29300,341,145
14100,29350,346,187
14100,29400,423,277
14100,29450,155,69
14100,29500,171,46
14100,29550,56,16
14100,29600,34,13
14100,29650,64,21
14100,29700,22,11
14100,29750,79,25
14100,29800,37,16
14100,29850,75,23
14100,29900,44,15
14100,29950,129,35
14150,28000,359,221
14150,28050,241,140
14150,28100,208,115
14150,28150,103,45
14150,28200,188,97
14150,28250,50,26
14150,28300,28,14
14150,28350,169,76
14150,28400,353,201
14150,28450,294,175
14150,28500,329,197
14150,28550,318,165
14150,28600,234,160
14150,28650,331,245
14150,28700,299,236
14150,28750,276,224
14150,28800,282,216
14150,28850,230,189
14150,28900,225,211
14150,28950,79,35
14150,29000,46,14
14150,29050,118,53
14150,29100,307,257
14150,29150,332,241
14150,29200,346,224
14150,29250,372,209
14150,29300,187,92
14150,29350,297,193
14150,29400,311,184
14150,29450,263,137
14150,29500,310,157
14150,29550,180,70
14150,29600,127,44
14150,29650,141,49
14150,29700,12,7
14150,29750,45,16
14150,29800,40,14
14150,29850,114,29
14150,29900,20,12
14150,29950,171,69
14200,28000,350,248
14200,28050,233,126
14200,28100,223,116
14200,28150,60,34
14200,28200,171,54
14200,28250,99,45
14200,28300,69,21
14200,28350,309,124
14200,28400,362,227
14200,28450,384,215
14200,28500,391,284
14200,28550,381,279
14200,28600,302,250
14200,28650,433,332
14200,28700,337,308
14200,28750,380,320
14200,28800,362,303
14200,28850,323,290
14200,28900,272,220
14200,28950,103,54
14200,29000,105,48
14200,29050,92,50
14200,29100,273,236
14200,29150,283,222
14200,29200,340,240
14200,29250,329,218
14200,29300,348,151
14200,29350,282,192
14200,29400,204,83
14200,29450,255,104
14200,29500,198,100
14200,29550,131,49
14200,29600,162,31
14200,29650,110,31
14200,29700,37,14
14200,29750,80,19
14200,29800,106,35
14200,29850,81,32
14200,29900,46,15
14200,29950,83,25
14250,28000,342,241
14250,28050,218,117
14250,28100,213,141
14250,28150,76,38
14250,28200,178,75
14250,28250,177,87
14250,28300,59,23
14250,28350,236,118
14250,28400,376,271
14250,28450,398,261
14250,28500,434,260
14250,28550,432,300
14250,28600,373,286
14250,28650,519,432
14250,28700,367,294
14250,28750,414,333
14250,28800,397,330
14250,28850,328,306
14250,28900,280,265
14250,28950,112,57
14250,29000,62,33
14250,29050,71,40
14250,29100,230,192
14250,29150,259,197
14250,29200,321,213
14250,29250,236,137
14250,29300,386,190
14250,29350,211,110
14250,29400,162,27
14250,29450,115,34
14250,29500,108,43
14250,29550,75,24
14250,29600,121,34
14250,29650,167,33
14250,29700,60,16
14250,29750,28,16
14250,29800,28,16
14250,29850,39,17
14250,29900,1,0
14250,29950,73,36
14300,28000,354,258
14300,28050,186,141
14300,28100,187,110
14300,28150,138,72
14300,28200,166,85
14300,28250,222,91
14300,28300,67,36
14300,28350,215,107
14300,28400,401,272
14300,28450,507,356
14300,28500,499,394
14300,28550,468,351
14300,28600,390,301
14300,28650,489,434
14300,28700,392,325
14300,28750,441,367
14300,28800,391,342
14300,28850,361,321
14300,28900,282,258
14300,28950,124,83
14300,29000,69,42
14300,29050,69,40
14300,29100,327,247
14300,29150,371,268
14300,29200,356,247
14300,29250,298,199
14300,29300,287,128
14300,29350,288,157
14300,29400,139,72
14300,29450,78,27
14300,29500,79,22
14300,29550,60,20
14300,29600,107,24
14300,29650,46,15
14300,29700,38,19
14300,29750,25,13
14300,29800,76,17
14300,29850,185,49
14300,29900,195,63
14300,29950,210,40
14350,28000,406,290
14350,28050,220,142
14350,28100,220,128
