anchor_idx,query_idx,num_matches,num_inliers
14550,28000,464,392
14500,28000,433,381
14450,28000,413,368
14950,28050,384,251
15150,28050,398,207
14500,28050,270,179
14950,28100,374,213
15150,28100,361,171
14250,28100,213,141
14950,28150,489,309
15150,28150,454,200
15450,28150,201,134
14950,28200,511,270
15150,28200,511,239
15350,28200,205,137
14950,28250,631,450
15150,28250,552,317
14850,28250,370,243
14950,28300,612,388
15150,28300,536,324
14900,28300,604,322
14900,28350,890,568
14850,28350,892,442
14950,28350,644,411
14850,28400,1105,576
14900,28400,889,559
14700,28400,903,545
14700,28450,1344,951
14650,28450,1140,827
14550,28450,993,814
14700,28500,1456,1132
14850,28500,1438,932
14650,28500,1253,889
14700,28550,1445,1253
14750,28550,1383,1060
14800,28550,1389,1049
14800,28600,1457,1205
14750,28600,1379,1161
14700,28600,1460,1116
14700,28650,1708,1378
14750,28650,1593,1259
14800,28650,1569,1154
14850,28700,1780,1348
14800,28700,1579,1338
14700,28700,1584,1275
14850,28750,1768,1329
14800,28750,1567,1239
14750,28750,1325,1076
14850,28800,1731,1322
14800,28800,1488,1191
14750,28800,1332,1039
14850,28850,1830,1341
14800,28850,1338,1090
14900,28850,1319,934
14850,28900,1773,1281
14900,28900,1534,1132
14800,28900,1143,801
14900,28950,1820,1377
14850,28950,1554,1181
14950,28950,1157,915
14900,29000,1723,1420
14950,29000,1455,1209
15150,29000,923,746
15050,29050,837,745
15000,29050,867,680
15100,29050,630,490
14150,29100,307,257
14300,29100,327,247
14100,29100,288,238
14300,29150,371,268
14350,29150,345,243
14150,29150,332,241
14100,29200,398,249
14300,29200,356,247
14050,29200,420,246
14050,29250,468,306
14100,29250,346,234
14200,29250,329,218
14050,29300,528,285
14250,29300,386,190
14200,29300,348,151
14050,29350,549,343
14000,29350,416,246
14150,29350,297,193
14050,29400,533,356
14000,29400,460,332
14100,29400,423,277
14000,29450,342,187
14050,29450,252,172
14150,29450,263,137
14150,29500,310,157
15150,29500,279,148
14050,29500,208,107
14400,29550,222,146
14350,29550,196,75
14150,29550,180,70
14400,29600,181,76
14350,29600,191,74
14450,29600,161,53
14400,29650,449,247
14600,29650,130,58
14650,29650,109,53
14400,29700,137,69
15150,29700,102,48
15950,29700,50,31
14400,29750,149,50
15100,29750,62,39
15050,29750,98,34
14400,29800,153,81
14800,29800,76,44
14550,29800,108,37
14400,29850,200,131
14300,29850,185,49
14200,29850,81,32
14300,29900,195,63
14400,29900,105,28
15400,29900,49,25
14150,29950,171,69
14350,29950,172,48
14400,29950,217,41
