anchor_idx,query_idx,num_matches,num_inliers
610,11300,112,70
610,11320,156,100
610,11340,142,96
610,11360,141,94
610,11380,132,86
610,11400,119,62
610,11420,138,77
610,11440,242,152
610,11460,420,299
610,11480,112,38
620,11300,172,108
620,11320,188,130
620,11340,200,144
620,11360,227,172
620,11380,228,129
620,11400,234,134
620,11420,304,148
620,11440,236,99
620,11460,350,139
620,11480,100,47
630,11300,151,70
630,11320,185,111
630,11340,238,118
630,11360,292,194
630,11380,334,191
630,11400,308,161
630,11420,305,144
630,11440,291,137
630,11460,263,57
630,11480,128,56
640,11300,250,126
640,11320,233,109
640,11340,282,169
640,11360,403,232
640,11380,390,208
640,11400,367,196
640,11420,608,339
640,11440,236,65
640,11460,168,36
640,11480,118,37
650,11300,233,116
650,11320,281,133
650,11340,320,171
650,11360,390,192
650,11380,372,168
650,11400,286,134
650,11420,417,224
650,11440,210,61
650,11460,114,32
650,11480,111,26
660,11300,236,84
660,11320,291,129
660,11340,320,177
660,11360,448,231
660,11380,428,195
660,11400,315,121
660,11420,199,70
660,11440,233,57
660,11460,113,34
660,11480,105,36
670,11300,139,39
670,11320,260,111
670,11340,374,199
670,11360,492,266
670,11380,442,234
670,11400,370,140
670,11420,357,103
670,11440,200,57
670,11460,134,41
670,11480,125,39
680,11300,200,64
680,11320,313,168
680,11340,372,203
680,11360,525,301
680,11380,537,289
680,11400,616,329
680,11420,575,346
680,11440,264,66
680,11460,134,43
680,11480,98,30
690,11300,305,59
690,11320,393,194
690,11340,477,277
690,11360,621,343
690,11380,659,424
690,11400,599,383
690,11420,497,401
690,11440,296,84
690,11460,148,47
690,11480,142,47
700,11300,418,241
700,11320,475,278
700,11340,551,316
700,11360,577,331
700,11380,678,465
700,11400,668,437
700,11420,255,86
700,11440,245,82
700,11460,248,74
700,11480,67,20
710,11300,408,234
710,11320,471,242
710,11340,567,355
710,11360,631,404
710,11380,669,442
710,11400,520,359
710,11420,358,171
710,11440,169,49
710,11460,297,132
710,11480,31,15
720,11300,441,261
720,11320,500,310
720,11340,597,361
720,11360,649,422
720,11380,679,469
720,11400,402,99
720,11420,227,43
720,11440,94,26
720,11460,132,40
720,11480,34,14
730,11300,610,350
730,11320,661,381
730,11340,686,405
730,11360,743,505
730,11380,581,315
730,11400,256,75
730,11420,203,47
730,11440,130,39
730,11460,111,25
730,11480,36,16
740,11300,490,268
740,11320,564,324
740,11340,669,413
740,11360,648,492
740,11380,506,162
740,11400,240,77
740,11420,159,47
740,11440,145,38
740,11460,122,30
740,11480,87,20
750,11300,492,260
750,11320,597,334
750,11340,701,434
750,11360,676,467
750,11380,213,71
750,11400,160,27
750,11420,84,28
750,11440,133,25
750,11460,128,22
750,11480,74,22
760,11300,527,305
760,11320,598,340
760,11340,690,460
760,11360,536,424
760,11380,209,60
760,11400,203,51
760,11420,66,25
760,11440,69,17
760,11460,49,19
760,11480,25,13
770,11300,455,291
770,11320,498,332
770,11340,596,430
770,11360,331,250
770,11380,196,66
770,11400,115,38
770,11420,105,37
770,11440,85,23
770,11460,34,16
770,11480,9,7
780,11300,523,284
780,11320,614,455
780,11340,509,416
780,11360,208,48
780,11380,180,44
780,11400,145,33
780,11420,80,21
780,11440,92,39
780,11460,44,16
780,11480,47,13
790,11300,587,377
790,11320,599,469
790,11340,338,289
790,11360,198,62
790,11380,174,44
790,11400,135,36
790,11420,98,30
790,11440,78,25
790,11460,86,18
790,11480,48,18
800,11300,599,406
800,11320,526,479
800,11340,59,20
800,11360,190,47
800,11380,141,35
800,11400,29,12
800,11420,105,23
800,11440,52,20
800,11460,36,18
800,11480,82,27
810,11300,612,520
810,11320,249,214
810,11340,84,19
810,11360,124,27
810,11380,147,38
810,11400,100,22
810,11420,63,18
810,11440,131,34
810,11460,67,28
810,11480,71,17
820,11300,582,520
820,11320,127,41
820,11340,133,42
820,11360,78,20
820,11380,215,58
820,11400,110,56
820,11420,78,24
820,11440,55,24
820,11460,127,40
820,11480,35,17
830,11300,210,179
830,11320,9,7
830,11340,28,13
830,11360,70,17
830,11380,66,26
830,11400,68,19
830,11420,83,25
830,11440,44,21
830,11460,87,22
830,11480,33,12
840,11300,74,22
840,11320,39,16
840,11340,42,15
840,11360,82,19
840,11380,106,30
840,11400,66,19
840,11420,49,17
840,11440,70,24
840,11460,74,20
840,11480,37,13
850,11300,79,19
850,11320,45,16
850,11340,57,14
850,11360,110,23
850,11380,208,49
850,11400,66,19
850,11420,85,21
850,11440,122,30
850,11460,92,28
850,11480,36,15
860,11300,127,22
860,11320,55,18
860,11340,120,24
860,11360,140,24
860,11380,101,23
860,11400,133,36
860,11420,141,32
860,11440,123,23
860,11460,102,24
860,11480,21,13
870,11300,171,28
870,11320,77,18
870,11340,107,24
870,11360,171,36
870,11380,99,27
870,11400,115,34
870,11420,143,35
870,11440,122,28
870,11460,138,35
870,11480,67,18
880,11300,139,25
880,11320,38,11
880,11340,84,19
880,11360,146,35
880,11380,92,23
880,11400,85,28
880,11420,125,35
880,11440,132,33
880,11460,121,25
880,11480,92,23
890,11300,159,24
890,11320,83,19
890,11340,70,23
890,11360,173,30
890,11380,143,31
890,11400,127,40
890,11420,119,33
890,11440,115,28
890,11460,117,21
890,11480,44,17
900,11300,152,33
900,11320,31,11
900,11340,156,32
900,11360,105,24
900,11380,62,22
900,11400,108,34
900,11420,124,31
900,11440,115,27
900,11460,118,25
900,11480,84,18
910,11300,98,24
910,11320,41,15
910,11340,68,19
910,11360,84,23
910,11380,88,27
910,11400,90,30
910,11420,97,23
910,11440,77,17
910,11460,70,17
910,11480,73,22
920,11300,149,37
920,11320,65,16
920,11340,121,31
920,11360,117,37
920,11380,214,49
920,11400,148,49
920,11420,169,30
920,11440,127,24
920,11460,91,21
920,11480,155,29
930,11300,123,32
930,11320,112,21
930,11340,77,20
930,11360,92,29
930,11380,162,47
930,11400,112,24
930,11420,141,38
930,11440,105,22
930,11460,87,24
930,11480,85,19
940,11300,149,48
940,11320,44,16
940,11340,65,16
940,11360,98,18
940,11380,91,32
940,11400,80,25
940,11420,156,23
940,11440,48,15
940,11460,56,17
940,11480,63,27
950,11300,83,25
950,11320,81,19
950,11340,69,20
950,11360,72,18
950,11380,115,50
950,11400,82,27
950,11420,105,31
950,11440,131,37
950,11460,70,26
950,11480,64,19
960,11300,186,96
960,11320,42,16
960,11340,54,24
960,11360,64,17
960,11380,19,11
960,11400,3,0
960,11420,38,18
960,11440,30,12
960,11460,71,29
960,11480,32,13
970,11300,66,19
970,11320,14,8
970,11340,18,11
