query_idx,anchor_idx,status,n_matches,n_inliers,n_overlapping,median_depth,x_error,y_error,z_error,pos_error,rot_error,distance_anchor_query,pointmap_error,pointmap_error_x,pointmap_error_y,pointmap_error_z,scale_x,scale_y,scale_z,pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
8740,8030,OK,1108,1659,,15.523765355169628,0.41928086676886556,1.228612853305275,1.720784373526314,2.1555474591661694,0.057605343008991394,0.2519187935071259,4.8175557979270796,1.7224149118426664,0.2585015245720901,4.340435021427103,1.827019117449382,1.2198893208292527,1.824622498805919,208.8426152637973,3.8017636514021675,1.2642708531496563,0.4128880230340963,0.5989321630029361,-0.569398323409256,-0.3828698131928767
7960,10880,OK,913,1370,,19.18541827195209,0.017856732303730964,0.7403994433180986,0.5670178543854898,0.9327483292647819,0.04235644677469319,1.8998076293060275,3.539239184971141,0.895897037801771,0.15037020699155956,3.3571194446308272,1.3631374691013038,1.1000090512323817,1.6657106745801944,223.27005799302063,7.957825367119594,1.3059676645432663,0.40507786876207547,0.6178296497669451,-0.5541760110955882,-0.38351974243083153
7860,10750,OK,1197,1774,,13.78818184233491,0.19128136239170757,0.6093207913627031,1.1164767976880836,1.2862273617681816,0.04251387633754243,2.35638227041184,2.3952135278396347,0.7491502211465308,0.058595255776758726,2.2551076972460695,1.3238706264885898,1.052233662197949,1.4195105789602107,254.15988437467826,16.15399375413838,2.5744350741887576,0.4388929175791078,0.5791240650777489,-0.53520752530967,-0.4307449697891091
5180,4170,OK,1004,1584,,13.685451716690634,0.18069492401722476,0.12434540086097486,0.6815294440967433,0.7159572734819328,0.02458855926279689,0.11641379900540337,1.3903817045286195,0.29703392672443824,0.18434870871969955,1.2921731036346271,1.048223268945958,1.112640951876266,1.2646364916688793,135.78350860238305,-182.25961522732993,-0.7084778447134159,0.13107476992446718,-0.6843252292723521,0.7054135017194609,-0.13003913588792795
9020,8200,OK,534,979,,43.690779623946725,0.16780711603086085,0.37950484406539137,0.591943188332066,0.7228968758214575,0.03562991669181729,3.9458999457601913,2.538851571877394,0.774167789426633,0.38845875614446357,2.3161032702322104,1.429014949303923,1.3558630081308753,1.5800247811863752,151.02496197182032,-17.567320302923704,-1.3220826543882587,0.3572592342550653,0.6170313317216504,-0.6076412491046035,-0.34987181595534117
7840,10700,OK,1197,1780,,16.52339745768575,0.05308483878868875,0.22865701725955548,0.33380337555347595,0.4080768618558918,0.025944796210576288,1.9318898654449779,1.708669115163255,0.5231684408920358,0.1281775871857498,1.6465482783125047,1.2908516040560232,1.156807888064538,1.813387494037143,260.71949348720733,17.12041380427933,2.3255550171177406,0.4304247701351537,0.5779499310341957,-0.5480018349747133,-0.42473801729538596
9380,8570,OK,588,1245,,20.694036017807253,0.47398685241137395,0.44686145826749213,0.708752297499009,0.9626414277153851,0.019425008219528146,2.854900811644469,1.6172248716173205,0.6373161102351624,0.1851578861437848,1.3918365673147282,1.478196859899367,1.3693932223108183,1.6338380540475452,216.3224432946376,-9.083299859497318,0.4600179203164042,-0.5951174852722637,0.3604469424068406,-0.36698699051127004,0.6174412759350137
9080,8300,OK,967,1549,,13.483794590264482,0.28275620418123415,0.14150480359750756,0.18102405563471557,0.3643410341460176,0.023115186840006782,1.7282583305704906,0.8353054166349683,0.4568804579705905,0.07543372091339462,0.6516917701522225,2.8366708385506474,2.7129420926962484,2.8923923935974782,146.1895310504918,-25.369179133405048,-1.5792849564551745,-0.00354079151809353,0.709787940549659,-0.703643210651018,0.03278375131717379
8820,8090,OK,1027,1678,,15.334003603053347,0.25927253939436606,0.427414538223876,0.6574997170056065,0.8259608435220067,0.0449944055923772,0.32822053467796136,3.780796091484242,1.1958841517192127,0.5014315426913815,3.507613043425699,1.6053175378129076,1.4241039550620587,1.8589361422134536,188.13725924656558,-3.632953551941844,-0.3209567377572863,0.40374924274895535,0.5981757023197259,-0.5784707464294675,-0.38018939182897055
8960,8190,OK,898,1567,,20.22416812489932,0.19008666260231222,0.18138080131486423,1.3840525229113863,1.4087701446873016,0.03084371804086993,3.5246097428748286,1.3779722038618913,0.5273967818744414,0.1727591503325845,1.2487046243420643,1.529531450440535,1.4242551331605036,1.8245447078488761,160.75717929526172,-13.40859192283123,-1.2641935755109468,0.40136063318205334,0.5932307370429396,-0.5819679980349465,-0.385097629208995
5060,4050,OK,535,923,,15.53857360519059,0.26010187624422787,0.6887131271280105,0.3846370187211837,0.8306168753853553,0.0300842779000948,1.0634375795591107,3.299550081661512,1.0627748218035715,0.29685356991279443,3.1090460349345106,3.5291207012457266,2.8263923225092795,3.499013565615479,124.88429697127782,-153.52388051834507,-0.2311225225476164,-0.04795874335868041,0.7140305399668622,-0.6962913869740953,0.055123963534731604
8900,8170,OK,774,1372,,13.02522587194235,0.4841071789268916,0.4123048510326965,4.549053391291954,4.593282247772118,0.03725764367054009,9.178002992525192,1.8845469636040173,0.7852916877822604,0.20231425576435536,1.668133580155894,1.6582118758567885,1.3888935667729398,1.7364887837045762,174.4314746613469,-8.612193400297521,-0.44449502778896643,0.4052004326307292,0.5976345602877692,-0.5812377703437609,-0.3752441819286851
7940,10830,OK,532,977,,29.66893298060044,0.3223077273563054,0.6126377741255573,0.23136685312318495,0.7298889875338779,0.05641852560523009,6.680832013727611,1.53292631458961,0.5641813562343534,0.12542928301879308,1.4071910975053035,1.1445167261184548,0.9950976397461719,1.3989479770747113,227.80837849779817,9.52060994844718,1.3259428264395787,0.39941521647343536,0.6060116148257119,-0.5676566975217611,-0.3885656718040075
7940,10900,OK,1176,1701,,14.834885156198013,0.25177366494835435,0.5051652613944514,1.4201712459704448,1.5282238996830588,0.03111761398849406,6.326940178307952,2.885632075927492,0.7458387633348675,0.09194787563448781,2.7510002542684067,1.322168773938721,1.0840991499312134,1.7705388407023703,229.39871044897527,9.991685581328207,1.545236739457966,0.4100599231204024,0.6017506303838667,-0.557143859391514,-0.3991713394338799
7900,10800,OK,819,1244,,17.24367066885305,0.10017084058928595,0.2608977825443695,0.31688078086772564,0.4225106856924128,0.027159955730797134,1.7612717417557564,0.7696911658270176,0.38465673592795335,0.06678568803768659,0.7195561666962442,1.0786197950883236,0.986110199758965,1.1303580680332423,239.44929646577842,12.742220251752215,1.524706280462003,0.4315014310143735,0.5828290577435058,-0.5513035845308829,-0.41253019545939257
8780,8080,OK,886,1553,,14.259376319241092,0.16321729089246642,0.41263121867985214,4.258936688544825,4.281990906542032,0.037610604683583654,7.166671254015085,3.5303112331911604,1.1136354766911847,0.4487309529022321,3.3033612854943852,1.5758760642718175,1.3815768022727897,1.724190831545614,202.03635186157098,1.1177313064339192,0.2669458301342329,0.396112941319962,0.6008713349855839,-0.5790388279102191,-0.3830955654713977
8840,8140,OK,589,1238,,21.29599800295678,0.2345859296372338,0.30949361574047474,3.9815727316595364,4.000467256966698,0.035257064770139436,12.599034271383804,3.025404752061304,0.8472826768644053,0.32442182152151855,2.8341187861864663,1.554910889291958,1.3852958235877977,1.690141122810368,186.27726607384372,-4.180119659290425,-0.16118830416578156,0.4034825468345855,0.6005754862099841,-0.5733814214045105,-0.38437568257066007
9000,8230,OK,1030,1761,,17.87083548591275,0.28349366454482217,0.004277775894311074,0.33724292195847294,0.4405902241479522,0.025695368743764727,5.013187746951526,1.3162573868709087,0.4274332892617956,0.19592981301511259,1.1737222749527092,1.5465998845577142,1.540964749152759,1.9722509474346086,153.66717457380093,-16.23319081707028,-1.6331680294115083,0.38043429332998535,0.6003599603740232,-0.5943111165597594,-0.37634022263333494
9360,8610,OK,623,1226,,11.793967057210036,0.2350381262610176,0.26975759277899525,0.6912366278277471,0.778344496549493,0.03808475532644221,5.256237380763177,1.1493528018064798,0.28577143622872136,0.16747961559122138,1.092770284735686,1.1739294217986667,1.2470282221206923,1.4178399539229958,215.40908691359616,-9.977175497355773,-0.3145192173277842,-0.5751205737271451,0.3840094674290685,-0.3913096399442392,0.6071653978013838
9400,8590,OK,562,1108,,18.052533498579496,0.12240875518933939,0.2268905398314399,0.0334937498861998,0.25997125166726637,0.04425671765098345,2.4657735299758823,2.0317139679758753,0.7102686849640503,0.2892800692113787,1.8343229973081026,1.4755066464965236,1.4063929686974728,1.59343198888206,219.0722963361718,-7.673102277379749,0.37831046802562085,-0.6365425727539555,0.27095064075863556,-0.27558815992125946,0.6674207589335788
9320,8550,OK,1041,1640,,14.845884453262178,0.00802441697795952,0.16458332533105008,1.5587197869415874,1.5674053197715292,0.03219742237712165,4.978365377051645,0.9072838597545893,0.4489144502930065,0.1066549453224015,0.7589389135533775,1.4342926756330323,1.3219484310938143,1.9458933883116984,204.89354504993486,-13.555646304881277,-0.2130124821407261,-0.5621813710302562,0.41280278132313614,-0.4088924424573489,0.5885175785817175
7920,10820,OK,646,1180,,22.85529824387376,0.20082175496394855,0.4690925000110542,0.44680559840874956,0.6782421349362054,0.050601319122348505,3.6034335777341298,1.023296961202416,0.4331296711620068,0.09671430582114005,0.9522377039754479,1.073077434040518,0.96867306076915,1.2737914396561263,233.4747978698221,11.365716251398483,1.4748645492466161,0.41324050009716756,0.5966973518029642,-0.5634686835508069,-0.3945726828966916
9360,8550,OK,410,987,,23.509008184790993,0.20262182905891274,0.439714531855526,0.8217463895792276,0.9537670595709412,0.02944875203147814,3.853211494443876,0.6035883925339305,0.3597095953588972,0.06268195753700623,0.46249822901737403,1.4473689650650599,1.3401814692658394,2.0939773380683424,213.88170009081745,-10.37629755149517,0.3196425494870405,-0.5776435649895068,0.3935082610042863,-0.39023933388812265,0.5993266410181933
5160,4130,OK,490,1073,,27.95419962433585,0.037607878656116756,0.2162553209603751,0.5766494497620651,0.61701321241249,0.03365833964546972,3.548973967256343,1.4588279530045876,0.5043795470585684,0.1728594150917061,1.3594722074271046,1.1239923939006775,1.074329395991284,1.557472169968309,133.9097550819601,-176.5277969385512,-0.5084032839457989,0.1372691009610125,-0.6897249147388999,0.7003249930733557,-0.12239950974810762
9000,8210,OK,957,1618,,13.573613179048724,0.2335338099606763,0.236507027156008,0.7730137820288512,0.8414415734294748,0.030603718037563524,1.6417921410876992,1.4084890578494926,0.5178808974239879,0.14270185209242225,1.2553768502744904,1.652952238750416,1.5259688393427198,1.9667241033366885,154.0690789153006,-16.074314377584354,-1.3724784966241428,0.3823791119288417,0.6015740698909885,-0.594473341834136,-0.37215090896551234
9300,8510,OK,1130,1790,,13.262728875016187,0.09939392022998439,0.536957201553376,1.364973105439249,1.4701543341605958,0.05396897203592688,0.2031839249611515,2.672986440965054,0.855694663693511,0.35286128103863557,2.4436226102785596,2.2802232333570536,1.9175996707735221,3.062173408263658,199.1771422728344,-15.10781235998966,-0.06588923216351188,-0.5661711708231334,0.41364929079861834,-0.40119581892252215,0.5893949307804143
5080,4050,OK,413,1003,,21.780753873458192,0.5527739559904005,1.1186830108736272,0.11943342187108019,1.2535051126734174,0.06212571993842224,4.544230504506352,2.449762070958841,0.7992706336234523,0.18039063805884425,2.2901630200821845,3.204228923986342,2.6049710151465044,3.9980204490478544,126.1368900706175,-157.46675703710312,0.04507906828098035,-0.15405637844965123,0.6996967280350319,-0.6819720928991035,0.1469870250833895
9420,8610,OK,673,932,,28.090143775962847,0.21127998069915094,0.14501150264997736,0.760777645247912,0.8027765515098182,0.01725446866685469,2.450476927380617,0.46947992972995933,0.33515009567720166,0.03121987123764236,0.2946355802347931,2.2395112583724326,2.365552907423676,2.3052123774995783,220.52489155235426,-4.677103377088077,0.16960540046019387,-0.6764900362800205,0.12720457603783514,-0.14379605636989773,0.7109872859772927
9380,8560,OK,417,1064,,22.36387084967008,0.5929190795712743,0.4544873210197337,0.47925260822014604,0.8875780655092568,0.01507121407102599,4.580432680878198,1.2557046982248903,0.538023681687416,0.13226118339484572,1.1039376251254867,1.3367177700902098,1.2468521659452538,1.4710346709961932,216.47144845469398,-8.865592054621263,0.4572611002539787,-0.59416325909062,0.3619349677340061,-0.3691141345964194,0.6162206230883005
5120,4080,OK,326,849,,29.50856135461587,0.31089559402246536,0.5975395928420861,0.7189054072992445,0.9851571549963793,0.05146160210005768,5.874568237550366,2.8362761911809407,0.7585902572179062,0.2514995017308985,2.711438311109429,2.488284198938023,2.1935941575610434,3.609405230385629,130.1493216968175,-166.29363160683113,-0.3107748429504005,0.1747637799683081,-0.6880765381460114,0.6894542983479296,-0.1437395886795055
8940,8140,OK,231,793,,56.43089396440818,0.5845002870560488,1.1428877995721716,0.3714653242838972,1.3363456121546045,0.050366606238350556,8.125330315149421,2.2878181002438476,0.8398431694592672,0.21437582066173122,2.005106406959218,1.839345252151874,1.5294056368554607,1.950660638840262,163.6309977408542,-13.1101810248674,-0.45061727180274724,0.41890707397425064,0.5857449219266354,-0.5819743792610169,-0.37779038062825976
7840,10680,OK,1033,1624,,15.611809355747473,0.035171619322605846,0.3544484378360679,0.2003537746895826,0.4086714730961377,0.0371894606487615,0.7863719970022445,1.5481798267342468,0.4457215772094465,0.09912268665631885,1.4306532988601086,1.3354882971817321,1.2045075310229705,1.7888534929886586,260.57823373339176,17.09919753055535,2.4256343153263122,0.4330286863298223,0.5790706616137206,-0.5499030709093673,-0.4180549464821147
8780,8030,OK,300,784,,75.45770649428124,2.696018080655748,0.991479755071813,6.618347135431659,7.214850268787039,0.09368343774471154,9.91318838568566,3.886259107374638,1.482875131442611,0.20035579647027912,3.457161874291863,1.728412269030451,1.191889931282174,1.8039809042097126,203.25544522335585,3.9773488001932416,-1.1924521453836292,0.37385809901918926,0.6179480223846548,-0.5803469058793425,-0.376255009621036
8980,8190,OK,949,1502,,13.024669986105087,0.18370512110300374,0.12075829460063306,0.39548560822735535,0.45248094274707723,0.02764922155253066,0.46608717126990273,1.5392692954887974,0.4804301417511741,0.2510910664660544,1.4128194168151644,1.368567778594735,1.3120342038181645,1.4901967162571372,156.68322537340495,-15.049824392952432,-1.4508818905980418,0.3884201006764577,0.5958129853999963,-0.5921507935256005,-0.37880621635109896
8980,8240,OK,633,1275,,32.183766620678206,1.1032736078851646,0.2116020693122806,1.0324318030040356,1.5257468720096892,0.009099112361288637,9.698157025656146,1.8857188212124112,0.476433239511347,0.2914846824557372,1.7874173323325406,1.4840190686738841,1.530529732772705,1.7623469456967222,155.70634654836914,-16.432422653223842,-1.8557680367495752,0.3907750854207016,0.5909585446411818,-0.5881013767186174,-0.39012767375781815
7980,10870,OK,392,800,,70.08848670074045,0.13570177528904576,0.5543817061815981,2.273545616609436,2.3440912351632983,0.035780235901913704,7.755964673687668,2.271463543864943,0.5839391250345978,0.12815311647380878,2.1671552641832577,1.2998794025137843,1.161959244881153,1.6536486067708214,217.85504723177817,5.8928751622942706,0.86818545626247,0.3924354759159693,0.6045426164630492,-0.5748497327924565,-0.3873892187852663
9340,8550,OK,1080,1689,,16.510196366120283,0.33826658265703274,0.47243991423807236,1.3189536320164406,1.4412711184635265,0.024601525472418454,0.16100475683116164,2.217038729325294,0.7759601356251542,0.29951852091254016,2.0274209494054922,1.528992508235938,1.3777040168205872,2.0208331470789025,209.8667704057151,-11.627897281267835,0.27185053814581406,-0.5654584139867987,0.41602422653286214,-0.40696143293398246,0.5844339287666207
7800,10640,OK,1058,1645,,12.3149375221113,0.1640373289599614,0.3051768587591415,2.380815871461296,2.4058938825759597,0.032633143528755765,7.105319078361033,1.240615108564795,0.48827947846511355,0.10486171834368747,1.0832913857729127,1.2797676074831312,1.1176540725700925,1.3931683560084678,276.68388058137003,21.598293874913548,3.1999751031456296,0.40789307493261284,0.5969951961207917,-0.5658811591618956,-0.3962303483282227
8880,8140,OK,931,1612,,15.029293909186496,0.0784232464065723,0.38391209699239226,2.2272990379806,2.261503859909009,0.04116846288465399,3.4233002818827303,3.049255270772065,1.0200283333885702,0.3605213429958868,2.769560837565416,1.5786361830992683,1.3853573205219678,1.7422563593978377,176.00576294072152,-7.887209510629185,-0.6561656597951409,0.3965802586365772,0.6017515162214446,-0.5817771317767062,-0.37703392437101363
9380,8600,OK,949,1540,,13.519719728096899,0.1737032576470489,0.13525655048976823,0.7847834787196206,0.8150780727260778,0.024466464905069457,1.2502269211107326,1.4170717825259103,0.3769473760697988,0.16101418701265136,1.355127112704401,1.1979994355475558,1.257494423569424,1.4519348372513563,217.827436112612,-8.689658563711962,-0.03769300068330185,-0.5910506335187262,0.3564009276736967,-0.36584203346094124,0.6243373558610796
7880,10730,OK,229,780,,37.47015553744414,0.13385678194026251,1.3472379294148362,1.4918484360921997,2.014591629287713,0.04570879166270961,8.447436998223772,2.700844289366081,0.7998433872949666,0.09545054225639715,2.560007196301985,1.3236526442058718,1.087014615604192,1.3913561446267877,244.51987112722009,13.647663258808798,2.420441181581869,0.4451339049125552,0.5838376780300863,-0.5301633666243957,-0.4241652709725585
5140,4090,OK,266,774,,43.15447599294608,0.18103585760507784,1.9706431633670105,1.8596054578008614,2.7155737732101284,0.0735502327137036,8.53377112326867,2.187817781089234,0.7181620908547657,0.16233035625649128,2.0257634061732155,2.317885010634495,1.941374758752783,3.2426712590335156,131.56930651573452,-168.76089781635767,0.7858377600843498,-0.1685180739335167,0.7007525843335959,-0.6831431006804075,0.11774114956243206
7920,10840,OK,1203,1792,,15.299664979997152,0.07121431878586507,0.3504037971666394,0.4094594817814302,0.5436095726618982,0.03147033379908992,0.739941741250422,1.9528866119012362,0.6400488623607554,0.1474622200063751,1.8559660787826378,1.1831376380171514,1.0408767922785225,1.5325620914695646,233.48055559937023,11.277334592801806,1.4090530520201165,0.41794114462341625,0.5929268138693203,-0.5592385189427731,-0.40126708307103726
9140,8350,OK,892,1491,,14.023483435638182,0.0018048431687205657,0.25954041596041844,0.170321277134712,0.31044133490978626,0.04346297529092826,1.0856805239799114,1.7802109252757474,0.422822744101139,0.16195308309319822,1.6834709056552648,3.086846062866786,2.8550277972368496,4.119289121682751,154.80331650027375,-29.842506219008268,-1.4828199676606648,-0.5113326281688492,0.48304146908509815,-0.45419545057720423,0.5467324530234308
