query_idx,anchor_idx,status,n_matches,n_inliers,n_overlapping,median_depth,x_error,y_error,z_error,pos_error,rot_error,distance_anchor_query,pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
11540,800,OK,927,1305,346,11.679677533143128,0.002239604031023301,0.03857913412321304,0.07819464914788621,0.08722252330260606,0.004968238373438392,1.3033169354949938,-1.8608922391187575,0.8447818870949942,-0.6192433644768253,0.4491321780203095,-0.5470473668775268,0.5495472515132761,-0.4438662900168266
7320,2870,OK,1081,1811,438,10.219577927048796,0.005917518943692079,0.0029217356167996183,0.12336636564947012,0.12354276078760014,0.0013249267386302623,2.128807534437674,-11.377765304803217,18.4045006048205,-0.797619867236038,0.02554978811701551,-0.7041886473522552,0.7094882754442579,-0.009588757714619069
3019,860,OK,901,1524,287,10.001607264335062,0.007624287842728117,0.006140479127811133,0.022519415002767218,0.024555229607859774,0.0037820478069442924,0.919288125694955,13.024720713847989,0.01121119010588395,-0.7312432300067083,-0.49859075151967674,0.49827441949998863,-0.49743559912733887,0.5056557031141038
11580,100,OK,1159,1746,403,9.086353362698343,0.004115849436813798,0.00021769895040157287,0.02160864244358819,0.021998205328489128,0.0012654616118910854,0.1363640716704028,5.496935477337672,0.1753800155099562,-0.6975078963907134,-0.5015569360462806,0.50511693368347,-0.49918843935832397,0.49407329944156764
11420,670,OK,782,1435,342,10.487283552968282,0.013174896314525009,0.05598241274615507,0.19099560449050634,0.1994666121546994,0.001878351616217757,0.6105202614074254,-5.8188137217804075,14.740940461420676,-0.7270482328633833,-0.4231058042209617,-0.5599095158407374,0.5792671418797409,0.41464730897957164
3430,9180,OK,1043,1725,411,9.527882867183168,0.02612898012863074,0.041786155883869754,0.07875240443078635,0.09290181714984687,0.0015614100480889803,5.001097698778856,68.35173374990094,43.64834778466441,-0.4176415801208194,-0.690323748723134,-0.01567161251109709,-0.008727131831022963,0.7232782035151795
3350,9110,OK,1165,1902,421,9.362727043243604,0.014103025420787396,0.025331134700934607,0.07201374659866389,0.07763080194376999,0.0020590426547731186,1.6592498861887115,68.29986741111806,28.336385155233437,-0.8687909689738442,-0.7050208751246398,-0.025625960565358572,0.0029722625943204685,0.7087171801492187
11220,470,OK,290,752,85,21.259986326880696,0.021574518023409983,0.10359818314908223,0.14874514268666772,0.1825463252235179,0.002136151352941119,6.940530530387305,48.29598623758187,13.037695277245078,-0.7898802528897033,-0.4956525210006235,-0.5031065154770181,0.5169056656333466,0.48375711400086513
3690,9360,OK,543,1149,215,14.948649594032728,0.02376822704485998,0.00018549438037998404,0.15314470701635274,0.1549782704515239,0.003664672946250822,3.410251718643819,70.31281083167146,107.91165953787524,0.8808236800805059,0.7035111359441609,-0.09144124193321107,0.07815689995564144,-0.7004299250214773
11540,30,OK,994,1534,428,8.993885808976529,0.011435534688812088,0.028112542609260233,0.03750637133368806,0.048247428907631895,0.005127720247969972,2.0144942336153395,-1.744658686590386,0.8106717728149642,-0.6817681709594761,0.4470012920933702,-0.5489130900357276,0.5518731632560622,-0.4408177357276298
11660,120,OK,579,1075,202,11.775031069396725,0.02234919113878836,0.030118789615143953,0.02633303623079719,0.04582637482467795,0.005241001770165852,2.382976070795696,11.854838450185357,-0.024168286318317658,-0.7126902997896659,-0.5016032517636364,0.5027424971357098,-0.4964744889908691,0.4991565297330609
7240,2760,OK,648,1289,201,14.857765889893907,0.01537596038583075,0.018677217349308044,0.027077813642846227,0.036310695357933305,0.002701396197440081,2.398792352677947,-10.980106291672767,38.08183717083984,-0.4144580685507888,-0.014869106168307604,0.7200161315851596,-0.6936632160310415,-0.013675622997525247
11580,30,OK,478,1040,150,15.84740403552824,0.046654001161021426,0.09197061731712641,0.10382017353150008,0.14633461212623858,0.003622801845825576,5.3949702239158634,5.372429892508959,0.13561905263263335,-0.6123477289228598,-0.5009332747931072,0.5060451966330717,-0.4984066077020801,0.4945452118548456
3019,110,OK,444,932,79,15.482636116816982,0.06715755078021496,0.027475043580526368,0.48840797770479316,0.4937685361910322,0.01321923499533425,5.7794292438002834,13.535203680438343,0.04665794711040397,-0.7116715917149015,-0.49879180715773513,0.49546470563995737,-0.5019219224891421,0.5037815422405181
1600,4730,OK,305,936,114,21.37032647439471,0.0004968072328973561,0.07522844334704681,0.01994259512361829,0.0778284819722899,0.004508005302654073,4.2461408292345615,96.29163616664603,113.5072193776284,0.33546981909932205,0.5099560841438194,-0.4963511300200747,0.5166171562023383,-0.4761166473564074
11580,90,OK,772,1281,246,10.93399125758986,0.014302748683712257,0.007998804049596697,0.010997219919334,0.01973545875036792,0.0012890257787396683,1.762621855232931,5.464380200166217,0.16693888715533228,-0.6873393288089418,-0.5011392578802624,0.5046326599120231,-0.4995662499716973,0.4946098307257468
2060,4410,OK,1064,1423,398,9.574639028653543,0.055222677997946,0.04442590518602173,0.16784941998231862,0.1821994319564773,0.004760357849335937,5.589101650256235,82.57972343854401,157.97776684327874,0.2287352919209771,0.4859320945765614,0.513895667939009,-0.5137579092883182,-0.48562748334258393
3390,9100,OK,138,764,57,18.421787561083846,0.1714748446342214,0.0554875302868863,0.31413740376875765,0.36216680798527623,0.018436190986580017,6.923044590658931,68.21120333020468,34.307773253928985,-0.7385947610864217,-0.6973062588392076,-0.019357595098575413,-0.0027663968923786657,0.7165065330783114
3039,900,OK,1160,1840,434,9.093503632638711,0.026033057123387687,0.05070888306966488,0.08623753504631093,0.10337322349731684,0.0036640017971865187,4.164937005113263,19.68377301684259,-0.19292204166891083,-0.824335632723974,-0.4985717971767831,0.49979249363683637,-0.4998949145660298,0.5017356881418815
1840,4940,OK,267,744,89,37.719390183127686,0.07757456814406982,0.1394149940053466,0.033205122521740904,0.16296298456377628,0.003997291245487224,9.87753208615797,130.76706453066743,140.35991724517797,0.3449717947929264,-0.7049043596326778,-0.006842752133502393,-0.0137207900504646,0.7091366303008716
3490,9200,OK,497,1046,206,18.73115587393677,0.009777399797435922,0.011679744076066985,0.04035977259009638,0.0431384423919735,0.0028697665133176247,3.687086262978468,68.75577531462056,58.02882498718601,0.2876308693680659,-0.685328206931931,-0.0130339233584263,-0.007057029497378811,0.72808348694365
1800,4960,OK,961,1632,401,10.317146783151381,0.02450276800160009,0.09798029100405735,0.1702388614456698,0.19794391380211201,0.0012986602183312527,8.560337571802103,130.30636302825476,128.70593078792734,0.16690758074371978,0.7077548782537142,0.00688180471990681,0.011125579873001293,-0.706336955386278
3059,910,OK,1076,1761,413,8.468662205183087,0.030766381892231992,0.00518918524877135,0.05340829883834053,0.06185421798948083,0.00241278674066526,0.35210073224731203,26.47246520206413,-0.42971087464241764,-0.8021464994436086,0.4971961726080479,-0.5004743190245281,0.5012782266561354,-0.5010404788251377
11600,140,OK,992,1645,324,9.279536196087047,0.009216814023560102,0.03343501841273204,0.21220163520731372,0.21501717164371423,0.003400121727559267,5.496500194128854,8.6296673159694,0.03816603948994883,-0.7545642561320037,-0.4958659741151658,0.5003910913804398,-0.49813604392728916,0.505555311635018
2959,20,OK,710,1275,306,9.133335720292669,0.02150524570741702,0.05908909691783922,0.09526427687748873,0.1141458690294704,0.008670038953490005,3.658597354436368,-3.2918403811847687,1.0911107502099924,-0.6894640950819907,0.41145214407246694,-0.5748214724393789,0.5760568234071987,-0.41042166629796983
2959,10,OK,784,1277,357,8.819842199967322,0.025013336513085516,0.05783131029727353,0.0909558981306704,0.11064855561178051,0.008439725059668016,3.6604595615008235,-3.297265872377287,1.0883848383653927,-0.6884481835865089,0.41152018856516737,-0.5747395828794079,0.576038568801444,-0.4104937435918817
3650,9330,OK,467,1022,159,20.319125360450155,0.023255786084783237,0.034499582974334246,0.00479399065077768,0.04188120292188269,0.0020045471844536067,4.68279504639848,69.15343340800122,100.83860197100731,1.0012223122068513,0.7092613838352746,-0.011185903897615335,-0.010423681490068636,-0.70477976121499
3019,120,OK,567,1178,163,13.558335791517404,0.004807576228302593,0.02209068519759579,0.10350489343743652,0.10594514678448139,0.0020915257738190027,3.5983081846944533,12.94345585110392,-0.004581755545656999,-0.7225444787982135,-0.5003355764876641,0.49880694872935216,-0.496720446500245,0.5041078622960243
7340,2890,OK,1155,1743,453,11.095577522612556,0.024955816206055914,0.02320907253305597,0.07971410624440223,0.08669367073033038,0.006287755135057371,1.7651398760723744,-11.247983316234667,13.545948384881253,-0.6985361856241947,0.03502754079587594,-0.6956908028937423,0.7171959432882264,-0.020429319268262643
3410,9150,OK,1123,1766,477,9.22816724464399,0.0037738129951441213,0.007565705625553698,0.019853785235397492,0.021579025796085907,0.002155962746878011,1.5201386043384,68.28072659979237,38.85325102642445,-0.5590960201643539,-0.6894402304296351,-0.02155728047098231,-0.001389873755112745,0.7240203868502405
1720,4860,OK,1178,1828,483,13.566680502062065,0.031189892665892734,0.009575991070491754,0.07810920547387043,0.08464961304844433,0.001062047941552451,0.3333987563886123,124.78065978672753,113.67857327627236,0.2081558883145345,-0.573336467001611,0.3985635856164512,-0.4160073971014037,0.5825548981714799
3059,160,OK,335,878,70,20.16864768640382,0.07073436267391414,0.10297306346597716,0.2010073092762381,0.23666588314526077,0.000765809354044909,7.637881631424789,26.619307447506895,-0.5380632061767956,-0.6932981621449762,-0.49696219516467377,0.5004916476767296,-0.5007789457304925,0.5017540579766119
7000,2550,OK,995,1717,373,11.702194784894902,0.015259841403575114,0.024480706824775936,0.12373166297526694,0.12704995942119754,0.004626369319066118,2.8400765175908207,-8.81828653968908,118.38322486140873,1.1494006586479113,0.002057672189289172,-0.6986168353012525,0.7153589223918605,-0.01385263776976113
