query_idx,anchor_idx,status,n_matches,n_inliers,n_overlapping,median_depth,x_error,y_error,z_error,pos_error,rot_error,distance_anchor_query,pointmap_error,pointmap_error_x,pointmap_error_y,pointmap_error_z,scale,pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
22000,9900,OK,809,809,,0.7938634,6.677554492296585,0.12066538829014273,2.5531616800422636,7.150029978815316,0.042756562422192695,7.84890936142661,4.559298736271311,1.0243905706320175,0.5452572315222918,4.3009249881576235,0.3298414526704519,-37.291171540168435,-66.31638983535414,-3.327747946556973,0.48686794613529905,-0.5253521641879852,0.5311825411664004,-0.4525591834986904
6800,1550,OK,1516,1516,,8.205962,0.24490947781059375,0.19646178862864955,1.5538259945217634,1.5852296704150388,0.036012270753807155,3.5523591403180856,0.9582858365166833,0.4570682955861788,0.21910850688104566,0.8057435094311711,3.3701361493344537,-4.864523659814415,-35.636816330092486,0.0019897211657013414,0.11282275525249062,0.722191105748446,-0.6781487993808433,-0.0763232505426377
10150,8200,OK,796,796,,6.9117007,5.234792341587688,0.09883166542428527,0.18318719154230206,5.2389289081625074,0.005274882114526907,7.174663758235856,4.568119227182133,0.9616071631633485,0.5487315598737034,4.257369387419354,1.1093577898234614,-38.74547831580083,-62.53384390015257,-3.693049138984072,0.5310044059845488,-0.4616765760653713,0.49936462873145326,-0.5054938451746467
10200,8300,OK,823,823,,17.508865,0.3680937346121347,0.12491532606759524,0.028940820536510203,0.38978764377620895,0.01854435699086537,5.433974934143628,0.40224703609908463,0.18805024473688442,0.03132937168481775,0.3396921884916959,2.9671524243747873,-39.4439666570867,-54.912183659210804,-3.9310305547226654,-0.4860248861530639,0.52028479093372,-0.5186121239976991,0.4734184314172311
20400,900,OK,1152,1152,,4.3921723,0.02755182401914081,0.04918016219337904,2.5637698289553206,2.5643895038043154,0.036519366769280866,3.2210567130001126,4.782992703086907,1.0365023122705224,0.5306187729018065,4.559005232022397,1.6367997936699703,0.08040247991653868,-15.636129752651568,0.3616280600099685,0.12398462100826692,0.7193464125868467,-0.6791747055377787,-0.07674810622772385
23700,8300,OK,938,938,,13.7896385,0.02686614547501956,0.06989539829905689,0.2788153204209902,0.28869558253899236,0.025595283346469884,1.2367474430169643,1.3726008448374358,0.3667627079872563,0.16878488524134405,1.2728141237398491,3.3148590616830482,-38.041070589588784,-60.93279345485966,-3.6485649733199774,0.5018977337708628,-0.49581222546051507,0.5308849916505118,-0.46949976310941777
20500,950,OK,887,887,,21.313654,0.8036155810289738,0.5301071034617209,12.536024936017,12.572936520147278,0.06776846226088808,5.4381008425355155,1.9424767430895373,0.49049956194438615,0.10611338038047391,1.7867573109851689,4.994462325917333,3.123332092828484,-10.726318297924795,-0.2902062576661666,-0.16772400284098757,-0.6785939436037027,0.7089364565907276,0.09374443499192156
3450,40400,OK,1850,1850,,1.2416425,1.0699605376198293,0.01186649978459585,1.108762575331033,1.5408798831627197,0.06714985099426764,1.7885084891675627,5.785281719001475,1.3311170168117104,1.1507612734182529,5.444369004608751,0.4172821882339681,-35.151773427116325,1.7292675152451906,-4.731628038780578,0.7140054248685236,0.06375498761766954,0.060499241313861175,-0.6946016099985929
21100,1800,OK,1527,1527,,3.2514544,0.4814412710083844,0.4543269808868474,2.762047959347182,2.8402654158944123,0.03047793856731403,3.772103186693073,4.914606560268071,1.1419169168813945,0.7429023089840882,4.662393961282549,0.7221573559880375,-13.563829117160394,-46.03737716387086,-0.7603056239571999,0.3489463652293107,0.6911421094438509,-0.5708456809393617,-0.2733024465672284
5450,41950,OK,1237,1237,,19.63919,0.4486617429890409,0.5896146932308136,5.153719485855676,5.206704080796616,0.033376553860601045,2.4175948587658436,0.690015394987909,0.19926318230406842,0.042867205210546766,0.6561403066752018,4.515272243664535,-0.7896145489158632,17.963172548402945,-0.9550086186118077,0.11179300025795705,0.7156724680451564,-0.688011656532285,-0.04421768934691562
