mapillary_sequence,query_idx,anchor_idx,method,num_matches,num_inliers,lat,lon,compass_deg,anchor_lat,anchor_lon,status
5kb1M1svQmCdlwVYX6iP4Q,1109672756221448,11350,anydepth80,1348,1010,41.90397704935444,12.51562348958633,112.90861018759314,41.90394098730632,12.515676405673824,success
5kb1M1svQmCdlwVYX6iP4Q,1109672756221448,11360,anydepth80,1695,1060,41.903987790209115,12.515639923859387,112.63076638441296,41.90397019092206,12.515660119867864,success
5kb1M1svQmCdlwVYX6iP4Q,1109672756221448,11340,anydepth80,1022,656,41.90395048614533,12.515605370689963,113.44086235246598,41.90391305433668,12.515692336793045,success
5kb1M1svQmCdlwVYX6iP4Q,1174594599653820,11300,anydepth80,947,691,41.90385230187313,12.515661539872239,116.06856080824276,41.90381619125013,12.515751021677644,success
5kb1M1svQmCdlwVYX6iP4Q,1174594599653820,11290,anydepth80,802,584,41.903836122558495,12.51561608873117,116.75274022510844,41.90379589840581,12.515764011861588,success
5kb1M1svQmCdlwVYX6iP4Q,1174594599653820,11320,anydepth80,1152,611,41.903874736936885,12.515698546799799,114.8662990732748,41.90386150817196,12.515722731780505,success
5kb1M1svQmCdlwVYX6iP4Q,1377418535966792,11420,anydepth80,850,493,41.90415131125876,12.515564609516835,112.5799250347002,41.90415834070341,12.515556743507736,success
5kb1M1svQmCdlwVYX6iP4Q,1377418535966792,11410,anydepth80,767,496,41.90414153629388,12.515548328152102,112.48240448105156,41.904126747677374,12.515574102952112,success
5kb1M1svQmCdlwVYX6iP4Q,1377418535966792,11390,anydepth80,767,479,41.90406508042824,12.515491217504588,111.82778570728648,41.90406296759896,12.515608839616537,success
5kb1M1svQmCdlwVYX6iP4Q,157569956210813,11240,anydepth80,1881,1805,41.90371124424214,12.515795631809127,118.09930345365898,41.9037037803466,12.515827891064294,success
5kb1M1svQmCdlwVYX6iP4Q,157569956210813,11230,anydepth80,1583,1327,41.9036995236414,12.515784095827437,117.99458763027546,41.903685335370966,12.515840860405788,success
5kb1M1svQmCdlwVYX6iP4Q,157569956210813,11250,anydepth80,1974,1519,41.9037217182839,12.515803481152195,118.00883631626117,41.9037221249346,12.515814569272113,success
5kb1M1svQmCdlwVYX6iP4Q,171491288216656,11470,anydepth80,456,349,41.90433082832918,12.51528954849117,107.47157260422422,41.90430646719757,12.51547856934654,success
5kb1M1svQmCdlwVYX6iP4Q,171491288216656,11460,anydepth80,421,315,41.90431591441541,12.51527703966504,110.55000522893152,41.90427855896843,12.515491076787198,success
5kb1M1svQmCdlwVYX6iP4Q,171491288216656,11450,anydepth80,409,282,41.90429052598784,12.515274962108746,111.55837425333742,41.90424978799856,12.515506242095764,success
5kb1M1svQmCdlwVYX6iP4Q,209013120753961,11470,anydepth80,316,248,41.90433327319156,12.515177025974268,107.47157260422422,41.90430646719757,12.51547856934654,success
5kb1M1svQmCdlwVYX6iP4Q,209013120753961,11460,anydepth80,313,211,41.904330303859595,12.515200419020665,110.55000522893152,41.90427855896843,12.515491076787198,success
5kb1M1svQmCdlwVYX6iP4Q,209013120753961,11450,anydepth80,297,173,nan,nan,111.55837425333742,41.90424978799856,12.515506242095764,fail
5kb1M1svQmCdlwVYX6iP4Q,284090313198316,11460,anydepth80,704,536,41.904333430292034,12.515349826760778,110.55000522893152,41.90427855896843,12.515491076787198,success
5kb1M1svQmCdlwVYX6iP4Q,284090313198316,11450,anydepth80,622,497,41.90431320299604,12.515345243515116,111.55837425333742,41.90424978799856,12.515506242095764,success
5kb1M1svQmCdlwVYX6iP4Q,284090313198316,11470,anydepth80,668,459,41.90434368636619,12.515324259528711,107.47157260422422,41.90430646719757,12.51547856934654,success
5kb1M1svQmCdlwVYX6iP4Q,3001109120169205,11380,anydepth80,135,34,nan,nan,112.06797658876508,41.904031248776654,12.515626166380084,fail
5kb1M1svQmCdlwVYX6iP4Q,3001109120169205,11340,anydepth80,101,29,nan,nan,113.44086235246598,41.90391305433668,12.515692336793045,fail
5kb1M1svQmCdlwVYX6iP4Q,3001109120169205,11390,anydepth80,158,35,nan,nan,111.82778570728648,41.90406296759896,12.515608839616537,fail
5kb1M1svQmCdlwVYX6iP4Q,300200548233014,11360,anydepth80,1789,1268,41.90397393659908,12.515690927784089,112.63076638441296,41.90397019092206,12.515660119867864,success
5kb1M1svQmCdlwVYX6iP4Q,300200548233014,11350,anydepth80,1614,1046,41.9039566193223,12.515667577260752,112.90861018759314,41.90394098730632,12.515676405673824,success
5kb1M1svQmCdlwVYX6iP4Q,300200548233014,11320,anydepth80,806,480,41.90391507761581,12.51559600118901,114.8662990732748,41.90386150817196,12.515722731780505,success
5kb1M1svQmCdlwVYX6iP4Q,308804654043934,11340,anydepth80,133,26,nan,nan,113.44086235246598,41.90391305433668,12.515692336793045,fail
5kb1M1svQmCdlwVYX6iP4Q,308804654043934,11380,anydepth80,62,17,nan,nan,112.06797658876508,41.904031248776654,12.515626166380084,fail
5kb1M1svQmCdlwVYX6iP4Q,308804654043934,11400,anydepth80,94,21,nan,nan,112.12956904852166,41.90409481885108,12.515591899214591,fail
5kb1M1svQmCdlwVYX6iP4Q,323224029233485,11430,anydepth80,1443,983,41.90421319308025,12.51552184473729,112.303840226878,41.90418951099185,12.515539095884597,success
5kb1M1svQmCdlwVYX6iP4Q,323224029233485,11440,anydepth80,1641,1217,41.90423138083826,12.515536208478725,111.91566036324068,41.90422000540833,12.515522348790425,success
5kb1M1svQmCdlwVYX6iP4Q,323224029233485,11420,anydepth80,1138,789,41.90418254028134,12.515497914861655,112.5799250347002,41.90415834070341,12.515556743507736,success
5kb1M1svQmCdlwVYX6iP4Q,452408572533828,11460,anydepth80,846,680,41.90431619793325,12.51540044162611,110.55000522893152,41.90427855896843,12.515491076787198,success
5kb1M1svQmCdlwVYX6iP4Q,452408572533828,11470,anydepth80,916,659,41.90434395483567,12.515404456267525,107.47157260422422,41.90430646719757,12.51547856934654,success
5kb1M1svQmCdlwVYX6iP4Q,452408572533828,11450,anydepth80,685,495,41.904295449023095,12.515402328255094,111.55837425333742,41.90424978799856,12.515506242095764,success
5kb1M1svQmCdlwVYX6iP4Q,769642790366382,11230,anydepth80,1751,1542,41.90369471564643,12.515803488241598,117.99458763027546,41.903685335370966,12.515840860405788,success
5kb1M1svQmCdlwVYX6iP4Q,769642790366382,11240,anydepth80,1933,1518,41.90370618291598,12.515815066373728,118.09930345365898,41.9037037803466,12.515827891064294,success
5kb1M1svQmCdlwVYX6iP4Q,769642790366382,11220,anydepth80,1384,1146,41.90368965516493,12.515791496689747,117.96818545553688,41.903666710624265,12.515854072539796,success
5kb1M1svQmCdlwVYX6iP4Q,773050813599916,11380,anydepth80,736,477,41.90405940100484,12.515558736237555,112.06797658876508,41.904031248776654,12.515626166380084,success
5kb1M1svQmCdlwVYX6iP4Q,773050813599916,11360,anydepth80,614,341,41.90400017037439,12.515538861912663,112.63076638441296,41.90397019092206,12.515660119867864,success
5kb1M1svQmCdlwVYX6iP4Q,773050813599916,11370,anydepth80,713,416,41.90402945935615,12.515543429102859,112.34519253298608,41.90400032241444,12.515643253657178,success
5kb1M1svQmCdlwVYX6iP4Q,781872275795007,11270,anydepth80,1123,842,41.90378402662893,12.515725911676917,117.4090284490828,41.90375871474993,12.515788976891322,success
5kb1M1svQmCdlwVYX6iP4Q,781872275795007,11260,anydepth80,1018,687,41.903762585771446,12.515715396136637,117.7314924016741,41.90374007543532,12.515802058210827,success
5kb1M1svQmCdlwVYX6iP4Q,781872275795007,11290,anydepth80,1611,846,41.90380105773633,12.515753262490326,116.75274022510844,41.90379589840581,12.515764011861588,success
5kb1M1svQmCdlwVYX6iP4Q,856560084943113,11460,anydepth80,1729,1341,41.90429754009502,12.515488603405016,110.55000522893152,41.90427855896843,12.515491076787198,success
5kb1M1svQmCdlwVYX6iP4Q,856560084943113,11450,anydepth80,1482,1069,41.90428056907869,12.515469938563333,111.55837425333742,41.90424978799856,12.515506242095764,success
5kb1M1svQmCdlwVYX6iP4Q,856560084943113,11470,anydepth80,1815,1307,41.90431356600572,12.515508576104827,107.47157260422422,41.90430646719757,12.51547856934654,success
5kb1M1svQmCdlwVYX6iP4Q,864889470756528,11460,anydepth80,169,122,nan,nan,110.55000522893152,41.90427855896843,12.515491076787198,fail
5kb1M1svQmCdlwVYX6iP4Q,864889470756528,11470,anydepth80,164,108,nan,nan,107.47157260422422,41.90430646719757,12.51547856934654,fail
5kb1M1svQmCdlwVYX6iP4Q,864889470756528,11440,anydepth80,158,107,nan,nan,111.91566036324068,41.90422000540833,12.515522348790425,fail
5kb1M1svQmCdlwVYX6iP4Q,927137594735314,11350,anydepth80,1014,526,41.90397352295782,12.515639440957566,112.90861018759314,41.90394098730632,12.515676405673824,success
5kb1M1svQmCdlwVYX6iP4Q,927137594735314,11370,anydepth80,1168,679,41.904019853119465,12.515679946132407,112.34519253298608,41.90400032241444,12.515643253657178,success
5kb1M1svQmCdlwVYX6iP4Q,927137594735314,11340,anydepth80,971,474,41.90393494149735,12.51564028421441,113.44086235246598,41.90391305433668,12.515692336793045,success
