mapillary_sequence,query_idx,anchor_idx,method,num_matches,num_inliers,lat,lon,compass_deg,anchor_lat,anchor_lon,status
gF8nHR2-5AgrrYdJgHGepA,1025601584512461,2440,anydepth80,973,851,41.90248156009854,12.51473275953863,13.545572327032746,41.90247694961837,12.514617374822844,success
gF8nHR2-5AgrrYdJgHGepA,1025601584512461,2455,anydepth80,801,711,41.90247127071813,12.514698812198862,19.05668365560526,41.902486903074205,12.51465495657322,success
gF8nHR2-5AgrrYdJgHGepA,1025601584512461,2445,anydepth80,919,720,41.902496375887964,12.514779764732888,16.06654589728641,41.90248002255126,12.514629414046812,success
gF8nHR2-5AgrrYdJgHGepA,1444614969264827,2440,anydepth80,867,773,41.90249458915594,12.514715610698218,13.545572327032746,41.90247694961837,12.514617374822844,success
gF8nHR2-5AgrrYdJgHGepA,1444614969264827,2445,anydepth80,842,674,41.902478708733,12.514735148566217,16.06654589728641,41.90248002255126,12.514629414046812,success
gF8nHR2-5AgrrYdJgHGepA,1444614969264827,2460,anydepth80,759,637,41.90249941056215,12.514720726060627,20.06203632147425,41.90249071374888,12.514668527505078,success
gF8nHR2-5AgrrYdJgHGepA,216045833356656,2480,anydepth80,883,815,41.90245756946766,12.51474227875479,21.621598144372605,41.90250876293554,12.51472854376605,success
gF8nHR2-5AgrrYdJgHGepA,216045833356656,2475,anydepth80,902,783,41.902441290437295,12.514670375354736,21.68418984980317,41.9025040276865,12.514712607793832,success
gF8nHR2-5AgrrYdJgHGepA,216045833356656,2465,anydepth80,828,750,41.902412544326324,12.514609577883116,20.947342765146804,41.90249492317712,12.514682580437968,success
gF8nHR2-5AgrrYdJgHGepA,225965242628718,2490,anydepth80,1131,970,41.90249218603433,12.514834965677368,21.410456870382607,41.9025185785761,12.514762228800349,success
gF8nHR2-5AgrrYdJgHGepA,225965242628718,2475,anydepth80,891,808,41.90244458832136,12.514782148160803,21.68418984980317,41.9025040276865,12.514712607793832,success
gF8nHR2-5AgrrYdJgHGepA,225965242628718,2495,anydepth80,1268,932,41.90250739655028,12.514850756316921,21.31187231043325,41.90252365743009,12.514779982423978,success
gF8nHR2-5AgrrYdJgHGepA,2951871478381873,2450,anydepth80,857,730,41.902430355816364,12.514696458534475,17.827518019755708,41.90248332099177,12.514641970994534,success
gF8nHR2-5AgrrYdJgHGepA,2951871478381873,2440,anydepth80,863,719,41.90246247409165,12.514725309885092,13.545572327032746,41.90247694961837,12.514617374822844,success
gF8nHR2-5AgrrYdJgHGepA,2951871478381873,2445,anydepth80,877,699,41.9024473188378,12.514701801443936,16.06654589728641,41.90248002255126,12.514629414046812,success
gF8nHR2-5AgrrYdJgHGepA,461463568253826,2440,anydepth80,887,845,41.90241757364571,12.51467374073879,13.545572327032746,41.90247694961837,12.514617374822844,success
gF8nHR2-5AgrrYdJgHGepA,461463568253826,2445,anydepth80,873,818,41.90241644149766,12.51466071158474,16.06654589728641,41.90248002255126,12.514629414046812,success
gF8nHR2-5AgrrYdJgHGepA,461463568253826,2455,anydepth80,825,790,41.90241078535602,12.514632683679709,19.05668365560526,41.902486903074205,12.51465495657322,success
gF8nHR2-5AgrrYdJgHGepA,509201370494178,2445,anydepth80,825,688,41.902460122430206,12.514709462341362,16.06654589728641,41.90248002255126,12.514629414046812,success
gF8nHR2-5AgrrYdJgHGepA,509201370494178,2440,anydepth80,847,742,41.902466277462665,12.51472104185332,13.545572327032746,41.90247694961837,12.514617374822844,success
gF8nHR2-5AgrrYdJgHGepA,509201370494178,2455,anydepth80,819,647,41.90246160523653,12.514714055049344,19.05668365560526,41.902486903074205,12.51465495657322,success
gF8nHR2-5AgrrYdJgHGepA,537303063944249,2440,anydepth80,872,712,41.9023804046853,12.514656506368912,13.545572327032746,41.90247694961837,12.514617374822844,success
gF8nHR2-5AgrrYdJgHGepA,537303063944249,2450,anydepth80,843,753,41.902466793569666,12.51476652812062,17.827518019755708,41.90248332099177,12.514641970994534,success
gF8nHR2-5AgrrYdJgHGepA,537303063944249,2445,anydepth80,831,721,41.90245537424936,12.514748696832338,16.06654589728641,41.90248002255126,12.514629414046812,success
gF8nHR2-5AgrrYdJgHGepA,881134779284124,2440,anydepth80,884,796,41.90249979059433,12.51470623110287,13.545572327032746,41.90247694961837,12.514617374822844,success
gF8nHR2-5AgrrYdJgHGepA,881134779284124,2445,anydepth80,857,672,41.90251097460197,12.51474252554625,16.06654589728641,41.90248002255126,12.514629414046812,success
gF8nHR2-5AgrrYdJgHGepA,881134779284124,2455,anydepth80,751,640,41.90248862667111,12.514732341599132,19.05668365560526,41.902486903074205,12.51465495657322,success
gF8nHR2-5AgrrYdJgHGepA,898021010763773,2440,anydepth80,872,717,41.90246871266663,12.514714187872332,13.545572327032746,41.90247694961837,12.514617374822844,success
gF8nHR2-5AgrrYdJgHGepA,898021010763773,2455,anydepth80,797,629,41.902501902783484,12.514791567651873,19.05668365560526,41.902486903074205,12.51465495657322,success
gF8nHR2-5AgrrYdJgHGepA,898021010763773,2445,anydepth80,829,667,41.902486007269964,12.514760857041217,16.06654589728641,41.90248002255126,12.514629414046812,success
