mapillary_sequence,query_idx,anchor_idx,method,num_matches,num_inliers,lat,lon,compass_deg,anchor_lat,anchor_lon,status
gF8nHR2-5AgrrYdJgHGepA,1025601584512461,2440,lidar,973,851,41.90247620659558,12.514731856442575,13.545572327032746,41.90247694961837,12.514617374822844,success
gF8nHR2-5AgrrYdJgHGepA,1025601584512461,2455,lidar,801,711,41.90247384936369,12.51473518412056,19.05668365560526,41.902486903074205,12.51465495657322,success
gF8nHR2-5AgrrYdJgHGepA,1025601584512461,2445,lidar,919,720,41.902485505233756,12.514747126360945,16.06654589728641,41.90248002255126,12.514629414046812,success
gF8nHR2-5AgrrYdJgHGepA,1444614969264827,2440,lidar,867,773,41.90249565681484,12.51473002321895,13.545572327032746,41.90247694961837,12.514617374822844,success
gF8nHR2-5AgrrYdJgHGepA,1444614969264827,2445,lidar,842,674,41.902495611645335,12.51475036034263,16.06654589728641,41.90248002255126,12.514629414046812,success
gF8nHR2-5AgrrYdJgHGepA,1444614969264827,2460,lidar,759,637,41.902500180100205,12.514740862190243,20.06203632147425,41.90249071374888,12.514668527505078,success
gF8nHR2-5AgrrYdJgHGepA,216045833356656,2480,lidar,883,815,41.90246298540723,12.514745394396233,21.621598144372605,41.90250876293554,12.51472854376605,success
gF8nHR2-5AgrrYdJgHGepA,216045833356656,2475,lidar,902,783,41.90244020222058,12.514732904710643,21.68418984980317,41.9025040276865,12.514712607793832,success
gF8nHR2-5AgrrYdJgHGepA,216045833356656,2465,lidar,828,750,41.90241115852862,12.514709480098226,20.947342765146804,41.90249492317712,12.514682580437968,success
gF8nHR2-5AgrrYdJgHGepA,225965242628718,2490,lidar,1131,970,41.90248800109827,12.514822279173364,21.410456870382607,41.9025185785761,12.514762228800349,success
gF8nHR2-5AgrrYdJgHGepA,225965242628718,2475,lidar,891,808,41.90243474418925,12.514788319359337,21.68418984980317,41.9025040276865,12.514712607793832,success
gF8nHR2-5AgrrYdJgHGepA,225965242628718,2495,lidar,1268,932,41.9025094743452,12.514837277661368,21.31187231043325,41.90252365743009,12.514779982423978,success
gF8nHR2-5AgrrYdJgHGepA,2951871478381873,2450,lidar,857,730,41.902462134149545,12.514749884989522,17.827518019755708,41.90248332099177,12.514641970994534,success
gF8nHR2-5AgrrYdJgHGepA,2951871478381873,2440,lidar,863,719,41.90243952660885,12.514721150929251,13.545572327032746,41.90247694961837,12.514617374822844,success
gF8nHR2-5AgrrYdJgHGepA,2951871478381873,2445,lidar,877,699,41.90242217475455,12.514688673723862,16.06654589728641,41.90248002255126,12.514629414046812,success
gF8nHR2-5AgrrYdJgHGepA,461463568253826,2440,lidar,887,845,41.902385472779606,12.514651311410915,13.545572327032746,41.90247694961837,12.514617374822844,success
gF8nHR2-5AgrrYdJgHGepA,461463568253826,2445,lidar,873,818,41.9023895173302,12.514667145162042,16.06654589728641,41.90248002255126,12.514629414046812,success
gF8nHR2-5AgrrYdJgHGepA,461463568253826,2455,lidar,825,790,41.902418662769215,12.514711899720206,19.05668365560526,41.902486903074205,12.51465495657322,success
gF8nHR2-5AgrrYdJgHGepA,509201370494178,2445,lidar,825,688,41.902435118355946,12.514696924660548,16.06654589728641,41.90248002255126,12.514629414046812,success
gF8nHR2-5AgrrYdJgHGepA,509201370494178,2440,lidar,847,742,41.90242012945414,12.514691023858475,13.545572327032746,41.90247694961837,12.514617374822844,success
gF8nHR2-5AgrrYdJgHGepA,509201370494178,2455,lidar,819,647,41.90246181412124,12.514725005436668,19.05668365560526,41.902486903074205,12.51465495657322,success
gF8nHR2-5AgrrYdJgHGepA,537303063944249,2440,lidar,872,712,41.90244160516196,12.514739266749126,13.545572327032746,41.90247694961837,12.514617374822844,success
gF8nHR2-5AgrrYdJgHGepA,537303063944249,2450,lidar,843,753,41.90245664154858,12.514745195623043,17.827518019755708,41.90248332099177,12.514641970994534,success
gF8nHR2-5AgrrYdJgHGepA,537303063944249,2445,lidar,831,721,41.90240683726543,12.514695464583253,16.06654589728641,41.90248002255126,12.514629414046812,success
gF8nHR2-5AgrrYdJgHGepA,881134779284124,2440,lidar,884,796,41.90250597297593,12.514744655896116,13.545572327032746,41.90247694961837,12.514617374822844,success
gF8nHR2-5AgrrYdJgHGepA,881134779284124,2445,lidar,857,672,41.90249792308666,12.51473710589711,16.06654589728641,41.90248002255126,12.514629414046812,success
gF8nHR2-5AgrrYdJgHGepA,881134779284124,2455,lidar,751,640,41.90252059148553,12.514749949289957,19.05668365560526,41.902486903074205,12.51465495657322,success
gF8nHR2-5AgrrYdJgHGepA,898021010763773,2440,lidar,872,717,41.902445946600594,12.514697253730068,13.545572327032746,41.90247694961837,12.514617374822844,success
gF8nHR2-5AgrrYdJgHGepA,898021010763773,2455,lidar,797,629,41.90245965807432,12.514720210005972,19.05668365560526,41.902486903074205,12.51465495657322,success
gF8nHR2-5AgrrYdJgHGepA,898021010763773,2445,lidar,829,667,41.90247213117206,12.514737975837733,16.06654589728641,41.90248002255126,12.514629414046812,success
