mapillary_sequence,query_idx,anchor_idx,method,num_matches,num_inliers,lat,lon,compass_deg,anchor_lat,anchor_lon,status
S0kbYi8VQ_WxGBZSOrY3Wg,1060345244496307,38600,anydepth80,1650,1367,41.90561700458167,12.482312117246126,136.69913579122866,41.90563610214105,12.482337865499243,success
S0kbYi8VQ_WxGBZSOrY3Wg,1060345244496307,38500,anydepth80,1364,1209,41.905607386525716,12.482308553170824,133.40743667404368,41.90560974585739,12.48237535329046,success
S0kbYi8VQ_WxGBZSOrY3Wg,1060345244496307,38550,anydepth80,1381,1170,41.905612178356364,12.482309452373206,136.21109519730916,41.90562268975243,12.482355790093358,success
S0kbYi8VQ_WxGBZSOrY3Wg,106292454876896,38950,anydepth80,1612,1526,41.90573329991847,12.482179056231379,138.7445052440257,41.90572492718605,12.482200627696836,success
S0kbYi8VQ_WxGBZSOrY3Wg,106292454876896,39000,anydepth80,1962,1766,41.90573387521397,12.482182658575399,133.47887901493343,41.9057387392806,12.482181313113454,success
S0kbYi8VQ_WxGBZSOrY3Wg,106292454876896,38900,anydepth80,1326,1039,41.905732702267166,12.482177593637276,140.93455774012523,41.90571169771593,12.482219411822356,success
S0kbYi8VQ_WxGBZSOrY3Wg,108796431284045,40850,anydepth80,523,390,41.9065224401898,12.481365603145717,119.670541657643,41.90632991462373,12.48151570723808,success
S0kbYi8VQ_WxGBZSOrY3Wg,108796431284045,40800,anydepth80,446,344,41.906515772276165,12.48137214546473,120.43008621603651,41.90631246961758,12.481530706222156,success
S0kbYi8VQ_WxGBZSOrY3Wg,108796431284045,40900,anydepth80,406,330,41.906473817523185,12.481300282489658,108.87821552396176,41.90634827131481,12.48150239944767,success
S0kbYi8VQ_WxGBZSOrY3Wg,1124747658033783,38450,anydepth80,1437,1082,41.90556882425932,12.482355138077535,132.53449609722122,41.905595497518405,12.482394100387,success
S0kbYi8VQ_WxGBZSOrY3Wg,1124747658033783,38400,anydepth80,1206,1050,41.90555871988631,12.482342424488907,132.47223343649344,41.9055816029462,12.482412600523428,success
S0kbYi8VQ_WxGBZSOrY3Wg,1124747658033783,38350,anydepth80,1155,934,41.90556635621785,12.482290235626515,136.6482665212039,41.90556771054607,12.482432239773637,success
S0kbYi8VQ_WxGBZSOrY3Wg,1134724260363162,37650,anydepth80,1136,897,41.90526038701554,12.482526722498855,121.41355945029387,41.90533742840186,12.482625264683485,success
S0kbYi8VQ_WxGBZSOrY3Wg,1134724260363162,37600,anydepth80,1017,844,41.90525277728531,12.482532165451481,118.76760340283428,41.90532049378502,12.482638951625308,success
S0kbYi8VQ_WxGBZSOrY3Wg,1134724260363162,37700,anydepth80,1117,939,41.905336956242174,12.48252761752743,118.5984049618151,41.90535486752946,12.48261377354808,success
S0kbYi8VQ_WxGBZSOrY3Wg,113811547432984,40200,anydepth80,1820,1477,41.90613290098789,12.48174724827525,131.84490637584256,41.90611741616384,12.481752692540327,success
S0kbYi8VQ_WxGBZSOrY3Wg,113811547432984,40150,anydepth80,1516,1189,41.90613818540195,12.48173426187508,129.00611938954975,41.90610062311436,12.481769235259394,success
S0kbYi8VQ_WxGBZSOrY3Wg,113811547432984,40250,anydepth80,1911,1598,41.90613324800664,12.481752293961078,133.26308074073478,41.906133444770205,12.481734041303518,success
S0kbYi8VQ_WxGBZSOrY3Wg,1141189789728712,40150,anydepth80,915,671,41.906152825814175,12.481539335478544,129.00611938954975,41.90610062311436,12.481769235259394,success
S0kbYi8VQ_WxGBZSOrY3Wg,1141189789728712,40250,anydepth80,859,634,41.906207396644525,12.481636354679516,133.26308074073478,41.906133444770205,12.481734041303518,success
S0kbYi8VQ_WxGBZSOrY3Wg,1141189789728712,40200,anydepth80,746,626,41.90617468865769,12.481554416928489,131.84490637584256,41.90611741616384,12.481752692540327,success
S0kbYi8VQ_WxGBZSOrY3Wg,1187290888379768,38750,anydepth80,1618,1419,41.90567430024673,12.482246238583572,138.21754798959867,41.90567726380374,12.482282469041484,success
