mapillary_sequence,query_idx,anchor_idx,method,num_matches,num_inliers,lat,lon,compass_deg,anchor_lat,anchor_lon,status
S0kbYi8VQ_WxGBZSOrY3Wg,1060345244496307,38600,lidar,1650,1367,41.905624878590615,12.482269924973302,136.69913579122866,41.90563610214105,12.482337865499243,success
S0kbYi8VQ_WxGBZSOrY3Wg,1060345244496307,38500,lidar,1364,1209,41.90561547696905,12.482265733240059,133.40743667404368,41.90560974585739,12.48237535329046,success
S0kbYi8VQ_WxGBZSOrY3Wg,1060345244496307,38550,lidar,1381,1170,41.90562241374769,12.482265708904823,136.21109519730916,41.90562268975243,12.482355790093358,success
S0kbYi8VQ_WxGBZSOrY3Wg,106292454876896,38950,lidar,1612,1526,41.9057318397656,12.482183105029492,138.7445052440257,41.90572492718605,12.482200627696836,success
S0kbYi8VQ_WxGBZSOrY3Wg,106292454876896,39000,lidar,1962,1766,41.9057347451363,12.482182819798737,133.47887901493343,41.9057387392806,12.482181313113454,success
S0kbYi8VQ_WxGBZSOrY3Wg,106292454876896,38900,lidar,1326,1039,41.90572245233115,12.482191454713016,140.93455774012523,41.90571169771593,12.482219411822356,success
S0kbYi8VQ_WxGBZSOrY3Wg,108796431284045,40850,lidar,523,390,41.90657115454336,12.48146268689487,119.670541657643,41.90632991462373,12.48151570723808,success
S0kbYi8VQ_WxGBZSOrY3Wg,108796431284045,40800,lidar,446,344,41.90656354871208,12.481445066213446,120.43008621603651,41.90631246961758,12.481530706222156,success
S0kbYi8VQ_WxGBZSOrY3Wg,108796431284045,40900,lidar,406,330,41.906494510267564,12.481340594100741,108.87821552396176,41.90634827131481,12.48150239944767,success
S0kbYi8VQ_WxGBZSOrY3Wg,1124747658033783,38450,lidar,1437,1082,41.90558049645512,12.482355155616778,132.53449609722122,41.905595497518405,12.482394100387,success
S0kbYi8VQ_WxGBZSOrY3Wg,1124747658033783,38400,lidar,1206,1050,41.90556777668794,12.482310747971418,132.47223343649344,41.9055816029462,12.482412600523428,success
S0kbYi8VQ_WxGBZSOrY3Wg,1124747658033783,38350,lidar,1155,934,41.905567175690265,12.4823021770024,136.6482665212039,41.90556771054607,12.482432239773637,success
S0kbYi8VQ_WxGBZSOrY3Wg,1134724260363162,37650,lidar,1136,897,41.90528362502655,12.48253319253656,121.41355945029387,41.90533742840186,12.482625264683485,success
S0kbYi8VQ_WxGBZSOrY3Wg,1134724260363162,37600,lidar,1017,844,41.90526751276946,12.482512429271326,118.76760340283428,41.90532049378502,12.482638951625308,success
S0kbYi8VQ_WxGBZSOrY3Wg,1134724260363162,37700,lidar,1117,939,41.9053756857156,12.482554032583458,118.5984049618151,41.90535486752946,12.48261377354808,success
S0kbYi8VQ_WxGBZSOrY3Wg,113811547432984,40200,lidar,1820,1477,41.906129914731295,12.481747421825652,131.84490637584256,41.90611741616384,12.481752692540327,success
S0kbYi8VQ_WxGBZSOrY3Wg,113811547432984,40150,lidar,1516,1189,41.90611695693567,12.481704581622695,129.00611938954975,41.90610062311436,12.481769235259394,success
S0kbYi8VQ_WxGBZSOrY3Wg,113811547432984,40250,lidar,1911,1598,41.906132095336346,12.48174835259778,133.26308074073478,41.906133444770205,12.481734041303518,success
S0kbYi8VQ_WxGBZSOrY3Wg,1141189789728712,40150,lidar,915,671,41.90615794729973,12.48170799731335,129.00611938954975,41.90610062311436,12.481769235259394,success
S0kbYi8VQ_WxGBZSOrY3Wg,1141189789728712,40250,lidar,859,634,41.90616737964929,12.481699761767983,133.26308074073478,41.906133444770205,12.481734041303518,success
S0kbYi8VQ_WxGBZSOrY3Wg,1141189789728712,40200,lidar,746,626,41.90616110402453,12.481709065525713,131.84490637584256,41.90611741616384,12.481752692540327,success
S0kbYi8VQ_WxGBZSOrY3Wg,1187290888379768,38750,lidar,1618,1419,41.9056741339301,12.482251567912218,138.21754798959867,41.90567726380374,12.482282469041484,success
S0kbYi8VQ_WxGBZSOrY3Wg,1187290888379768,38800,lidar,1876,1602,41.9056758660593,12.48225255997946,142.58387170843065,41.90568884947957,12.48226140774558,success
S0kbYi8VQ_WxGBZSOrY3Wg,1187290888379768,38700,lidar,1358,1105,41.90567564112784,12.482229305843255,140.01411112437432,41.90566403711566,12.482301431382323,success
S0kbYi8VQ_WxGBZSOrY3Wg,1251671701896502,39800,lidar,1530,1154,41.90599887493819,12.481831509361774,131.2540837580295,41.90598875008715,12.481894371784977,success
S0kbYi8VQ_WxGBZSOrY3Wg,1251671701896502,39850,lidar,1844,1435,41.90600704340353,12.481884920131895,131.70798882246257,41.906005209669466,12.481876989786867,success
S0kbYi8VQ_WxGBZSOrY3Wg,1251671701896502,39900,lidar,1764,1369,41.90601165555598,12.481884292196675,132.16953672357175,41.90602185032782,12.481859816265509,success
S0kbYi8VQ_WxGBZSOrY3Wg,1318876868483537,40850,lidar,272,156,nan,nan,119.670541657643,41.90632991462373,12.48151570723808,fail
S0kbYi8VQ_WxGBZSOrY3Wg,1318876868483537,40550,lidar,216,154,nan,nan,132.17430743799474,41.90622980348912,12.481620515474727,fail
S0kbYi8VQ_WxGBZSOrY3Wg,1318876868483537,40800,lidar,337,149,41.90625479587557,12.481215773991051,120.43008621603651,41.90631246961758,12.481530706222156,success
S0kbYi8VQ_WxGBZSOrY3Wg,1385441325146397,39000,lidar,1868,1549,41.90574425081611,12.482162122227429,133.47887901493343,41.9057387392806,12.482181313113454,success
