mapillary_sequence,query_idx,anchor_idx,method,num_matches,num_inliers,lat,lon,compass_deg,anchor_lat,anchor_lon,status
n4k0JDQfdeItNMf9OOwCUQ,1112345069276846,23871,anydepth80,354,258,41.90559333439466,12.482141841177546,38.27769416826821,41.905719134027166,12.48227029133488,success
n4k0JDQfdeItNMf9OOwCUQ,1112345069276846,23876,anydepth80,377,271,41.90558987300787,12.482146033311487,38.59177992822895,41.90571953262946,12.482272726635466,success
n4k0JDQfdeItNMf9OOwCUQ,1112345069276846,23881,anydepth80,327,243,41.90562006869129,12.482120660777653,38.49446647291023,41.90571989778162,12.48227505598066,success
n4k0JDQfdeItNMf9OOwCUQ,1368405473535383,2546,anydepth80,458,374,41.90599541555403,12.482242462824352,130.50847436318242,41.905892225974114,12.481993466107834,success
n4k0JDQfdeItNMf9OOwCUQ,1368405473535383,2591,anydepth80,617,547,41.90599821728954,12.482240412252484,127.0376253269364,41.90590438170979,12.481976889527209,success
n4k0JDQfdeItNMf9OOwCUQ,1368405473535383,2581,anydepth80,497,384,41.90600759648679,12.482227731218652,128.13506888778764,41.9059015271304,12.481980665571264,success
n4k0JDQfdeItNMf9OOwCUQ,166334535399167,2586,anydepth80,324,261,41.905890978184786,12.48214960276352,127.08808028073962,41.90590292760343,12.481978896106993,success
n4k0JDQfdeItNMf9OOwCUQ,166334535399167,2571,anydepth80,280,239,41.90600020724629,12.48218304445557,129.22474121250775,41.90589906298669,12.481984608818474,success
n4k0JDQfdeItNMf9OOwCUQ,166334535399167,2536,anydepth80,284,235,41.90616608324398,12.482197582261158,132.03785154106362,41.90588967358006,12.481997378310206,success
n4k0JDQfdeItNMf9OOwCUQ,180258693949912,7781,anydepth80,884,760,41.90574528797716,12.482421395061856,-171.17898954109071,41.90578272461229,12.482356078782804,success
n4k0JDQfdeItNMf9OOwCUQ,180258693949912,7786,anydepth80,897,740,41.905742560687415,12.48241351123767,-172.9528551479768,41.905780936279136,12.482356378720247,success
n4k0JDQfdeItNMf9OOwCUQ,180258693949912,7791,anydepth80,844,736,41.90574621111246,12.48242638301107,-175.45186085356755,41.90577906858432,12.482356864855108,success
n4k0JDQfdeItNMf9OOwCUQ,190384509592565,2561,anydepth80,325,155,nan,nan,128.7628240705672,41.90589633672435,12.481988199903364,fail
n4k0JDQfdeItNMf9OOwCUQ,190384509592565,2576,anydepth80,181,38,nan,nan,128.48380841540504,41.90590024540759,12.481982773159038,fail
n4k0JDQfdeItNMf9OOwCUQ,190384509592565,2596,anydepth80,187,36,nan,nan,128.6415879724984,41.90590563133103,12.481975127108816,fail
n4k0JDQfdeItNMf9OOwCUQ,1951146195035728,23861,anydepth80,672,430,41.90567002905971,12.482212445099254,37.44924198738254,41.90571929958456,12.482265439226117,success
n4k0JDQfdeItNMf9OOwCUQ,1951146195035728,23866,anydepth80,673,422,41.90560355422858,12.482206314754862,38.17425811840825,41.90571901166416,12.482267781333483,success
n4k0JDQfdeItNMf9OOwCUQ,1951146195035728,23871,anydepth80,666,394,41.90557190163769,12.48223593729857,38.27769416826821,41.905719134027166,12.48227029133488,success
n4k0JDQfdeItNMf9OOwCUQ,273809294428041,23861,anydepth80,489,222,41.90561382915439,12.482334320591141,37.44924198738254,41.90571929958456,12.482265439226117,success
n4k0JDQfdeItNMf9OOwCUQ,273809294428041,23866,anydepth80,416,204,41.905620859339855,12.48234528994466,38.17425811840825,41.90571901166416,12.482267781333483,success
n4k0JDQfdeItNMf9OOwCUQ,273809294428041,23876,anydepth80,379,152,nan,nan,38.59177992822895,41.90571953262946,12.482272726635466,fail
n4k0JDQfdeItNMf9OOwCUQ,2747790412198843,7786,anydepth80,1273,1122,41.90575745807323,12.482430020888744,-172.9528551479768,41.905780936279136,12.482356378720247,success
n4k0JDQfdeItNMf9OOwCUQ,2747790412198843,7781,anydepth80,1252,1058,41.90574859783139,12.482431962661524,-171.17898954109071,41.90578272461229,12.482356078782804,success
n4k0JDQfdeItNMf9OOwCUQ,2747790412198843,7791,anydepth80,1211,1142,41.905758854633106,12.4824445004597,-175.45186085356755,41.90577906858432,12.482356864855108,success
n4k0JDQfdeItNMf9OOwCUQ,278233050668896,7821,anydepth80,544,468,41.90585407838955,12.4823001595022,171.73969531495408,41.90576769023665,12.482354931193958,success
n4k0JDQfdeItNMf9OOwCUQ,278233050668896,7811,anydepth80,501,462,41.9058599928128,12.482315698928586,174.29120463044524,41.90577153512811,12.482355820317698,success
n4k0JDQfdeItNMf9OOwCUQ,278233050668896,7816,anydepth80,483,462,41.90586098627235,12.482297371526293,172.81994190769453,41.90576971275485,12.482354867357923,success
n4k0JDQfdeItNMf9OOwCUQ,287299236272756,23861,anydepth80,513,293,41.90566336662906,12.482340662155043,37.44924198738254,41.90571929958456,12.482265439226117,success
n4k0JDQfdeItNMf9OOwCUQ,287299236272756,23871,anydepth80,495,267,41.905624375875384,12.482336097854681,38.27769416826821,41.905719134027166,12.48227029133488,success
n4k0JDQfdeItNMf9OOwCUQ,287299236272756,23866,anydepth80,503,265,41.905618354186856,12.48232338604414,38.17425811840825,41.90571901166416,12.482267781333483,success
n4k0JDQfdeItNMf9OOwCUQ,303930317928095,23876,anydepth80,333,266,41.90565461153814,12.482121102387437,38.59177992822895,41.90571953262946,12.482272726635466,success
n4k0JDQfdeItNMf9OOwCUQ,303930317928095,23881,anydepth80,260,215,41.905596935536714,12.482132617044947,38.49446647291023,41.90571989778162,12.48227505598066,success
n4k0JDQfdeItNMf9OOwCUQ,303930317928095,23871,anydepth80,278,204,41.905590532846915,12.48214131265799,38.27769416826821,41.905719134027166,12.48227029133488,success
n4k0JDQfdeItNMf9OOwCUQ,304419531305696,23861,anydepth80,50,21,nan,nan,37.44924198738254,41.90571929958456,12.482265439226117,fail
n4k0JDQfdeItNMf9OOwCUQ,304419531305696,7781,anydepth80,59,23,nan,nan,-171.17898954109071,41.90578272461229,12.482356078782804,fail
n4k0JDQfdeItNMf9OOwCUQ,304419531305696,7786,anydepth80,32,18,nan,nan,-172.9528551479768,41.905780936279136,12.482356378720247,fail
