mapillary_sequence,query_idx,anchor_idx,method,num_matches,num_inliers,lat,lon,compass_deg,anchor_lat,anchor_lon,status
n4k0JDQfdeItNMf9OOwCUQ,1112345069276846,23871,lidar,354,258,41.90561257601707,12.482111141778727,38.27769416826821,41.905719134027166,12.48227029133488,success
n4k0JDQfdeItNMf9OOwCUQ,1112345069276846,23876,lidar,377,271,41.90562078323805,12.482097800560679,38.59177992822895,41.90571953262946,12.482272726635466,success
n4k0JDQfdeItNMf9OOwCUQ,1112345069276846,23881,lidar,327,243,41.905593221540975,12.482132838094087,38.49446647291023,41.90571989778162,12.48227505598066,success
n4k0JDQfdeItNMf9OOwCUQ,1368405473535383,2546,lidar,458,374,41.90583375168464,12.482032640067084,130.50847436318242,41.905892225974114,12.481993466107834,success
n4k0JDQfdeItNMf9OOwCUQ,1368405473535383,2591,lidar,617,547,41.905890950264464,12.482080674805617,127.0376253269364,41.90590438170979,12.481976889527209,success
n4k0JDQfdeItNMf9OOwCUQ,1368405473535383,2581,lidar,497,384,41.90590260210269,12.48195502227497,128.13506888778764,41.9059015271304,12.481980665571264,success
n4k0JDQfdeItNMf9OOwCUQ,166334535399167,2586,lidar,324,261,nan,nan,127.08808028073962,41.90590292760343,12.481978896106993,fail
n4k0JDQfdeItNMf9OOwCUQ,166334535399167,2571,lidar,280,239,nan,nan,129.22474121250775,41.90589906298669,12.481984608818474,fail
n4k0JDQfdeItNMf9OOwCUQ,166334535399167,2536,lidar,284,235,nan,nan,132.03785154106362,41.90588967358006,12.481997378310206,fail
n4k0JDQfdeItNMf9OOwCUQ,180258693949912,7781,lidar,884,760,41.90577782709178,12.482256145616049,-171.17898954109071,41.90578272461229,12.482356078782804,success
n4k0JDQfdeItNMf9OOwCUQ,180258693949912,7786,lidar,897,740,41.90577924749014,12.482252339946912,-172.9528551479768,41.905780936279136,12.482356378720247,success
n4k0JDQfdeItNMf9OOwCUQ,180258693949912,7791,lidar,844,736,41.905764159227104,12.48235884774131,-175.45186085356755,41.90577906858432,12.482356864855108,success
n4k0JDQfdeItNMf9OOwCUQ,190384509592565,2561,lidar,325,155,nan,nan,128.7628240705672,41.90589633672435,12.481988199903364,fail
n4k0JDQfdeItNMf9OOwCUQ,190384509592565,2576,lidar,181,38,nan,nan,128.48380841540504,41.90590024540759,12.481982773159038,fail
n4k0JDQfdeItNMf9OOwCUQ,190384509592565,2596,lidar,187,36,nan,nan,128.6415879724984,41.90590563133103,12.481975127108816,fail
n4k0JDQfdeItNMf9OOwCUQ,1951146195035728,23861,lidar,672,430,41.9055886366554,12.48218327805407,37.44924198738254,41.90571929958456,12.482265439226117,success
n4k0JDQfdeItNMf9OOwCUQ,1951146195035728,23866,lidar,673,422,41.905590875999685,12.482202616089504,38.17425811840825,41.90571901166416,12.482267781333483,success
n4k0JDQfdeItNMf9OOwCUQ,1951146195035728,23871,lidar,666,394,41.90558892586977,12.482184714361805,38.27769416826821,41.905719134027166,12.48227029133488,success
n4k0JDQfdeItNMf9OOwCUQ,273809294428041,23861,lidar,489,222,41.90558687085636,12.482258776272925,37.44924198738254,41.90571929958456,12.482265439226117,success
n4k0JDQfdeItNMf9OOwCUQ,273809294428041,23866,lidar,416,204,nan,nan,38.17425811840825,41.90571901166416,12.482267781333483,fail
n4k0JDQfdeItNMf9OOwCUQ,273809294428041,23876,lidar,379,152,41.90558767569179,12.482280830989477,38.59177992822895,41.90571953262946,12.482272726635466,success
n4k0JDQfdeItNMf9OOwCUQ,2747790412198843,7786,lidar,1273,1122,41.905765349705526,12.48237555706578,-172.9528551479768,41.905780936279136,12.482356378720247,success
n4k0JDQfdeItNMf9OOwCUQ,2747790412198843,7781,lidar,1252,1058,41.90575687138224,12.482398833769452,-171.17898954109071,41.90578272461229,12.482356078782804,success
n4k0JDQfdeItNMf9OOwCUQ,2747790412198843,7791,lidar,1211,1142,41.905776980921516,12.482365385016521,-175.45186085356755,41.90577906858432,12.482356864855108,success
n4k0JDQfdeItNMf9OOwCUQ,278233050668896,7821,lidar,544,468,41.90583584747437,12.482297455306385,171.73969531495408,41.90576769023665,12.482354931193958,success
n4k0JDQfdeItNMf9OOwCUQ,278233050668896,7811,lidar,501,462,41.90585759535556,12.482302471066216,174.29120463044524,41.90577153512811,12.482355820317698,success
n4k0JDQfdeItNMf9OOwCUQ,278233050668896,7816,lidar,483,462,41.905838328722865,12.482309413310189,172.81994190769453,41.90576971275485,12.482354867357923,success
n4k0JDQfdeItNMf9OOwCUQ,287299236272756,23861,lidar,513,293,41.905607363550054,12.48226163987067,37.44924198738254,41.90571929958456,12.482265439226117,success
n4k0JDQfdeItNMf9OOwCUQ,287299236272756,23871,lidar,495,267,41.905631232807195,12.482345384072937,38.27769416826821,41.905719134027166,12.48227029133488,success
n4k0JDQfdeItNMf9OOwCUQ,287299236272756,23866,lidar,503,265,41.90565180851586,12.482330438474731,38.17425811840825,41.90571901166416,12.482267781333483,success
n4k0JDQfdeItNMf9OOwCUQ,303930317928095,23876,lidar,333,266,41.90567281991274,12.482108805405945,38.59177992822895,41.90571953262946,12.482272726635466,success
n4k0JDQfdeItNMf9OOwCUQ,303930317928095,23881,lidar,260,215,41.90563749961484,12.48208880747102,38.49446647291023,41.90571989778162,12.48227505598066,success
n4k0JDQfdeItNMf9OOwCUQ,303930317928095,23871,lidar,278,204,41.90556804855351,12.48215014641577,38.27769416826821,41.905719134027166,12.48227029133488,success
n4k0JDQfdeItNMf9OOwCUQ,304419531305696,23861,lidar,50,21,41.90572452905756,12.482136438392006,37.44924198738254,41.90571929958456,12.482265439226117,success
n4k0JDQfdeItNMf9OOwCUQ,304419531305696,7781,lidar,59,23,41.90579431837589,12.482392700261059,-171.17898954109071,41.90578272461229,12.482356078782804,success
n4k0JDQfdeItNMf9OOwCUQ,304419531305696,7786,lidar,32,18,41.90576344239737,12.482430395143297,-172.9528551479768,41.905780936279136,12.482356378720247,success
n4k0JDQfdeItNMf9OOwCUQ,305791817730395,23871,lidar,662,426,41.90555479882068,12.48223483858214,38.27769416826821,41.905719134027166,12.48227029133488,success
n4k0JDQfdeItNMf9OOwCUQ,305791817730395,23866,lidar,623,419,41.90555098523344,12.482267022424711,38.17425811840825,41.90571901166416,12.482267781333483,success
n4k0JDQfdeItNMf9OOwCUQ,305791817730395,23881,lidar,612,387,41.90557223678122,12.482230652234302,38.49446647291023,41.90571989778162,12.48227505598066,success
n4k0JDQfdeItNMf9OOwCUQ,306713820894516,7811,lidar,1160,968,41.905775471222256,12.482451107526169,174.29120463044524,41.90577153512811,12.482355820317698,success
n4k0JDQfdeItNMf9OOwCUQ,306713820894516,7806,lidar,1070,916,41.905787632007346,12.48244746659421,176.2240796435429,41.90577335700001,12.482355874803934,success
n4k0JDQfdeItNMf9OOwCUQ,306713820894516,7781,lidar,922,769,41.90582894682075,12.482366938870944,-171.17898954109071,41.90578272461229,12.482356078782804,success
n4k0JDQfdeItNMf9OOwCUQ,339973640889465,23861,lidar,481,294,41.905576183075276,12.482109789836183,37.44924198738254,41.90571929958456,12.482265439226117,success
n4k0JDQfdeItNMf9OOwCUQ,339973640889465,23881,lidar,480,292,41.9055786857151,12.482177846048968,38.49446647291023,41.90571989778162,12.48227505598066,success
n4k0JDQfdeItNMf9OOwCUQ,339973640889465,23866,lidar,456,266,41.90552607635783,12.482275733589159,38.17425811840825,41.90571901166416,12.482267781333483,success
n4k0JDQfdeItNMf9OOwCUQ,367029038020395,23861,lidar,692,481,41.905584685615565,12.482234894026677,37.44924198738254,41.90571929958456,12.482265439226117,success
n4k0JDQfdeItNMf9OOwCUQ,367029038020395,23871,lidar,653,439,41.905578342245846,12.482247465440448,38.27769416826821,41.905719134027166,12.48227029133488,success
n4k0JDQfdeItNMf9OOwCUQ,367029038020395,23866,lidar,661,396,41.90559864484509,12.482161486351126,38.17425811840825,41.90571901166416,12.482267781333483,success
n4k0JDQfdeItNMf9OOwCUQ,3849401905172977,23861,lidar,558,347,41.90559621554264,12.482101089186232,37.44924198738254,41.90571929958456,12.482265439226117,success
n4k0JDQfdeItNMf9OOwCUQ,3849401905172977,23871,lidar,518,303,41.905593935783976,12.48214879921305,38.27769416826821,41.905719134027166,12.48227029133488,success
n4k0JDQfdeItNMf9OOwCUQ,3849401905172977,23866,lidar,507,288,41.90562549211513,12.482065143076479,38.17425811840825,41.90571901166416,12.482267781333483,success
n4k0JDQfdeItNMf9OOwCUQ,3901194019972102,7786,lidar,714,553,41.905830068808086,12.482345656385371,-172.9528551479768,41.905780936279136,12.482356378720247,success
n4k0JDQfdeItNMf9OOwCUQ,3901194019972102,7791,lidar,779,557,41.905832526405895,12.482325284154175,-175.45186085356755,41.90577906858432,12.482356864855108,success
n4k0JDQfdeItNMf9OOwCUQ,3901194019972102,7781,lidar,617,391,41.90584056282016,12.48232101950889,-171.17898954109071,41.90578272461229,12.482356078782804,success
n4k0JDQfdeItNMf9OOwCUQ,4232333256798703,7786,lidar,182,78,41.905649190939,12.482499886833757,-172.9528551479768,41.905780936279136,12.482356378720247,success
n4k0JDQfdeItNMf9OOwCUQ,4232333256798703,2531,lidar,72,25,41.90584551792637,12.48201260802956,132.32101664620575,41.90588837593718,12.481999386779938,success
n4k0JDQfdeItNMf9OOwCUQ,4232333256798703,23861,lidar,56,21,nan,nan,37.44924198738254,41.90571929958456,12.482265439226117,fail
n4k0JDQfdeItNMf9OOwCUQ,462147301727489,23881,lidar,268,140,41.905588673113186,12.482338380550074,38.49446647291023,41.90571989778162,12.48227505598066,success
